#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Steven Adams,POR,,,Aduana Stars,2014
2,Samuel Inkoom,DEF,,,Dnipro Dnipropetrovsk,2014
3,Asamoah Gyan,DEL,,,Al-Ain,2014
4,Daniel Opare,DEF,,,FC PORto,2014
5,Michael Essien,CEN,,,Milan,2014
6,Afriyie Acquah,CEN,,,Parma,2014
7,Christian Atsu,CEN,,,Chelsea FC,2014
8,Emmanuel Agyemang-Badu,CEN,,,Udinese,2014
9,Kevin Prince Boateng,CEN,,,Schalke 04,2014
10,Andre Ayew,CEN,,,Olympique de Marsella,2014
11,Sulley Muntari,CEN,,,Milan,2014
12,Adam Kwarasey,POR,,,Strømsgodset,2014
13,Jordan Ayew,DEL,,,Olympique de Marseille,2014
14,Albert Adomah,CEN,,,Middlesbrough,2014
15,Rashid Sumaila,DEF,,,Mamelodi Sundowns,2014
16,Fatau Dauda,POR,,,Orlando Pirates,2014
17,MohamMED Rabiu,CEN,,,Kuban Krasnodar,2014
18,Majeed Waris,DEL,,,FC Spartak Moskva,2014
19,Jonathan Mensah,DEF,,,Evian Thonon Gaillard,2014
20,Kwadwo Asamoah,CEN,,,Juventus,2014
21,John Boye,DEF,,,Stade Rennes,2014
22,Wakaso Mubarak,CEN,,,Rubin Kazan,2014
23,Harrison Afful,DEF,,,Esperance,2014
24,Akwasi Appiah,DT,,,,2014
