#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Luis Lopez,POR,20,,Real España,2014
2,Osman Chavez,DEF,29,,Qingdao Jonoon,2014
3,Maynor Figueroa,DEF,31,,Hull City,2014
4,Juan Pablo Montes,DEF,28,,Motagua,2014
5,Victor Bernardez,DEF,32,,San Jose Earthquakes,2014
6,Juan Carlos Garcia,DEF,26,,Wigan Athletic,2014
7,Emilio Izaguirre,DEF,28,,Celtic,2014
8,Wilson Palacios,CEN,29,,Stoke City,2014
9,Jerry Palacios,DEL,32,,Alajuelense,2014
10,Mario Martinez,CEN,24,,Real España,2014
11,Jerry Bengtson,DEL,27,,C.A. Belgrano,2014
12,Edder DELgado,CEN,29,,Real España,2014
13,Carlo Costly,DEL,31,,GaziantepsPOR,2014
14,Boniek Garcia,CEN,29,,Houston Dynamo,2014
15,Roger Espinoza,CEN,27,,Wigan Athletic,2014
16,Rony Martinez,DEL,25,,Real Sociedad,2014
17,Andy Najar,CEN,22,,Anderlecht,2014
18,Noel Valladares,POR,37,,Olimpia,2014
19,Luis Garrido,CEN,23,,Houston Dynamo,2014
20,Jorge Claros,CEN,28,,SPORting Kansas City,2014
21,Brayan Beckeles,DEF,28,,Boavista,2014
22,Donis Escober,POR,33,,Olimpia,2014
23,Marvin Chavez,CEN,30,,Chivas USA,2014
24,Luis Fernando Suarez,DT,,,,2014
