#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Mark Schwarzer,POR,37,74,Fulham FC,2010
2,Lucas Neill,DEF,32,55,Galatasaray,2010
3,Craig Moore,DEF,34,49,Kavala F.C.,2010
4,Tim Cahill,CEN,30,39,Everton FC,2010
5,Jason Culina,CEN,29,48,Gold Coast United,2010
6,Michael Beauchamp,DEF,29,21,Al-Jazira,2010
7,Brett Emerton,CEN,31,72,Blackburn Rovers,2010
8,Luke Wilkshire,DEF,28,41,FC Dinamo Moscu,2010
9,Joshua Kennedy,DEL,27,18,Nagoya Grampus,2010
10,Harry Kewell,DEL,31,45,Galatasaray,2010
11,Scott Chipperfield,DEF,34,64,FC Basel,2010
12,Adam Federici,POR,25,1,Reading FC,2010
13,Vince Grella,CEN,30,44,Blackburn Rovers,2010
14,Brett Holman,DEL,26,31,AZ Alkmaar,2010
15,Mile Jedinak,CEN,25,11,AntalyasPOR,2010
16,Carl Valeri,CEN,25,21,Sassuolo,2010
17,Nikita Rukavytsya,DEL,22,3,KSV Roeselare,2010
18,Eugene Galekovic,POR,28,,ADELaide United FC,2010
19,Richard Garcia,CEN,28,6,Hull City,2010
20,Mark Milligan,DEF,24,20,JEF United,2010
21,David Carney,DEF,26,25,FC Twente,2010
22,Dario Vidošić,MED,23,26,MSV Duisburg,2010
23,Mark Bresciano,MED,30,54,US Palermo,2010
24,Pim Verbeek,DT,,,,2010
