#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Fernando Muslera,POR,23,6,Lazio,2010
2,Diego Lugano,DEF,29,42,Fenerbahçe,2010
3,Diego Godin,DEF,24,38,Villarreal,2010
4,Jorge Fucile,DEF,25,24,FC PORto,2010
5,Walter Gargano,MED,25,28,Napoli,2010
6,Mauricio Victorino,DEF,27,4,Universidad de Chile,2010
7,Edinson Cavani,DEL,23,14,Palermo,2010
8,Sebastian Eguren,MED,29,27,AIK,2010
9,Luis Suarez,DEL,23,30,Ajax Amsterdam,2010
10,Diego Forlan,DEL,31,62,Atletico de Madrid,2010
11,Alvaro Pereira,MED,25,15,PORto,2010
12,Juan Castillo,POR,32,11,DePORtivo Cali,2010
13,Sebastian Abreu,DEL,33,56,Botafogo,2010
14,Nicolas Lodeiro,MED,21,4,Ajax Amsterdam,2010
15,Diego Perez,MED,30,50,Monaco,2010
16,Maximiliano Pereira,DEF,26,37,Benfica,2010
17,Egidio Arevalo Rios,MED,28,6,Peñarol,2010
18,Ignacio Gonzalez,MED,28,17,Valencia,2010
19,Andres Scotti,DEF,34,26,Colo-Colo,2010
20,Alvaro Fernandez,MED,24,7,Universidad de Chile,2010
21,Sebastian Fernandez,DEL,25,6,Banfield,2010
22,Martin Caceres,DEF,23,19,Barcelona,2010
23,Martin Silva,POR,27,1,DEF SPORting,2010
24,Oscar Washington Tabarez,DT,,,,2010
