#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Vincent Enyeama,POR,27,55,Hapoel Tel Aviv,2010
2,Joseph Yobo,DEF,29,67,Everton FC,2010
3,Taye Taiwo,DEF,25,42,Olympique Marsella,2010
4,Nwankwo Kanu,MED,33,85,PORtsmouth FC,2010
5,Rabiu Afolabi,DEF,30,16,Red Bull Salzburg,2010
6,Danny Shittu,DEF,29,27,Bolton Wanderers,2010
7,John Utaka,DEL,28,44,PORtsmouth FC,2010
8,Yakubu Aiyegbeni,DEL,27,50,Everton FC,2010
9,Obafemi Martins,DEL,25,34,Wolfsburgo,2010
10,Brown Ideye,DEL,21,,FC Sochaux,2010
11,Peter Odemwingie,DEL,28,49,Lokomotiv Moscu,2010
12,Kalu Uche,MED,27,23,UD Almeria,2010
13,Ayila Yussuf,MED,25,27,Dinamo de Kiev,2010
14,Sani Kaita,MED,24,22,Alania Vladikavkaz,2010
15,Lukman Haruna,MED,29,5,AS Monaco,2010
16,Austin Ejide,POR,26,19,Hapoel Petah Tikva,2010
17,Chidi Odiah,DEF,26,26,CSKA Moscu,2010
18,Victor Obinna,DEL,23,33,Malaga CF,2010
19,Chinedu Ogbuke Obasi,DEL,24,13,Hoffenheim,2010
20,Dickson Etuhu,MED,28,14,Fulham,2010
21,Elderson Echiejile,DEF,22,12,Stade Rennais FC,2010
22,DELe ADELeye,DEF,21,6,Sparta Rotterdam,2010
23,DELe Aiyenugba,POR,26,8,Bnei Yehuda,2010
24,Lars Lagerback,DT,,,,
