#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Diego Benaglio,POR,,,Wolfsburgo,2014
2,Stephan Lichtsteiner,DEF,,,Juventus,2014
3,Reto Ziegler,DEF,,,Sassuolo,2014
4,Philippe Senderos,DEF,,,Valencia,2014
5,Steve Von Bergen,DEF,,,Young Boys,2014
6,Michael Lang,DEF,,,Grasshopper,2014
7,Tranquillo Barnetta,CEN,,,Eintracht Frankfurt,2014
8,Gokhan İnler,CEN,,,Napoli,2014
9,Haris Seferović,DEL,,,Real Sociedad,2014
10,Granit Xhaka,DEL,,,Borussia Monchengladbach,2014
11,Valon Behrami,CEN,,,Napoli,2014
12,Yann Sommer,POR,,,Basilea,2014
13,Ricardo Rodriguez,DEF,,,Wolfsburgo,2014
14,Valentin Stocker,CEN,,,Basilea,2014
15,Blerim Džemaili,CEN,,,Napoli,2014
16,Gelson Fernandes,CEN,,,Friburgo,2014
17,Mario Gavranović,DEL,,,Zurich,2014
18,Admir MehMEDi,DEL,,,Friburgo,2014
19,Josip Drmić,DEL,,,Nuremberg,2014
20,Johan Djourou,DEF,,,Hamburgo,2014
21,Roman Burki,POR,,,Grasshopper,2014
22,Fabian Schar,DEF,,,Basilea,2014
23,Xherdan Shaqiri,CEN,,,Bayern de Munich,2014
24,Ottmar Hitzfeld,DT,,,,
