#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Maarten Stekelenburg,POR,27,27,Ajax,2010
2,Gregory van der Wiel,DEF,22,10,Ajax,2010
3,John Heitinga,DEF,26,54,Everton,2010
4,Joris Mathijsen,DEF,30,56,Hamburgo,2010
5,Giovanni van Bronckhorst,DEF,35,99,Feyenoord,2010
6,Mark van Bommel,MED,33,56,Bayern de Munich,2010
7,Dirk Kuyt,DEL,29,63,Liverpool,2010
8,Nigel de Jong,MED,25,42,Manchester City,2010
9,Robin van Persie,DEL,26,44,Arsenal,2010
10,Wesley Sneijder,MED,25,61,Inter de Milan,2010
11,Arjen Robben,MED,26,47,Bayern de Munich,2010
12,Khalid Boulahrouz,DEF,28,29,Stuttgart,2010
13,Andre Ooijer,DEF,35,54,PSV Eindhoven,2010
14,Demy de Zeeuw,MED,27,25,Ajax,2010
15,Edson Braafheid,DEF,27,7,Celtic,2010
16,Michel Vorm,POR,26,4,FC Utrecht,2010
17,Eljero Elia,DEL,23,9,Hamburgo SV,2010
18,Stijn Schaars,MED,26,12,AZ Alkmaar,2010
19,Ryan Babel,DEL,23,39,Liverpool,2010
20,Ibrahim Afellay,MED,24,23,PSV Eindhoven,2010
21,Klaas-Jan Huntelaar,DEL,26,32,AC Milan,2010
22,Sander Boschker,POR,39,1,Twente,2010
23,Rafael van der Vaart,MED,27,78,Real Madrid,2010
24,Bert van Marwijk,DT,,,,
