#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Hugo Lloris,POR,23,11,Olympique de Lyon,2010
2,Bacary Sagna,DEF,27,20,Arsenal,2010
3,Eric Abidal,DEF,30,48,Barcelona,2010
4,Anthony Reveillère,DEF,30,6,Olympique de Lyon,2010
5,William Gallas,DEF,32,81,Arsenal,2010
6,Marc Planus,DEF,27,1,Girondins de Burdeos,2010
7,Franck Ribery,MED,27,45,Bayern de Munich,2010
8,Yoann Gourcuff,MED,23,20,Girondins de Burdeos,2010
9,Djibril Cisse,DEL,28,39,Panathinaikos,2010
10,Sidney Govou,DEL,30,46,Olympique de Lyon,2010
11,Andre-Pierre Gignac,DEL,24,13,Toulouse,2010
12,Thierry Henry,DEL,32,121,Barcelona,2010
13,Patrice Evra,DEF,29,30,Manchester United,2010
14,Jeremy Menez,MED,23,12,AS Roma,2010
15,Florent Malouda,DEL,29,54,Chelsea,2010
16,Steve Mandanda,POR,25,13,Olympique de Marsella,2010
17,Sebastien Squillaci,DEF,29,20,Sevilla,2010
18,Alou Diarra,MED,28,25,Girondins de Burdeos,2010
19,Abou Diaby,MED,24,5,Arsenal,2010
20,Mathieu Valbuena,MED,25,1,Olympique de Marsella,2010
21,Nicolas Anelka,DEL,31,67,Chelsea,2010
22,Gael Clichy,DEF,24,4,Arsenal,2010
23,Cedric Carrasso,POR,28,,Girondins de Burdeos,2010
24,Raymond Domenech,DT,,,,
