id,Nombre,Seleccion
545,abdallah said,EGT
546,ahmed al-muhammadi,EGT
547,ahmed fathy,EGT
548,ahmed hegazy,EGT
549,ali gabr,EGT
550,amr warda,EGT
551,ayman ashraf,EGT
552,essam el-hadary,EGT
553,hector cuper,EGT
554,mahmoud hamdy,EGT
555,mahmoud kahraba,EGT
556,marwan mohsen,EGT
557,mohamed abdel-shafy,EGT
558,mohamed el-shenawy,EGT
559,mohamed elneny,EGT
560,mohamed salah,EGT
561,omar gaber,EGT
562,ramadan sobhi,EGT
563,saad samir,EGT
564,sam morsy,EGT
565,sherif ekramy,EGT
566,shikabala,EGT
567,tarek hamed,EGT
568,trezeguet,EGT
569,aaron lennon,ENG
570,adam lallana,ENG
571,alex oxlade-chamberlain,ENG
572,ashley cole,ENG
573,ashley young,ENG
574,ben foster,ENG
575,chris smalling,ENG
576,daniel sturridge,ENG
577,daniel welbeck,ENG
578,danny rose,ENG
579,danny welbeck,ENG
580,david james,ENG
581,dele alli,ENG
582,emile heskey,ENG
583,eric dier,ENG
584,fabian delph,ENG
585,fabio capello,ENG
586,frank lampard,ENG
587,fraser forster,ENG
588,gareth barry,ENG
589,gareth southgate,ENG
590,gary cahill,ENG
591,glen johnson,ENG
592,harry kane,ENG
593,harry maguire,ENG
594,jack butland,ENG
595,jack wilshere,ENG
596,james milner,ENG
597,jamie carragher,ENG
598,jamie vardy,ENG
599,jermain defoe,ENG
600,jesse lingard,ENG
601,joe cole,ENG
602,joe hart,ENG
603,john stones,ENG
604,john terry,ENG
605,jordan henderson,ENG
606,jordan pickford,ENG
607,kieran trippier,ENG
608,kyle walker,ENG
609,ledley king,ENG
610,leighton baines,ENG
611,luke shaw,ENG
612,marcus rashford,ENG
613,matthew upson,ENG
614,michael carrick,ENG
615,michael dawson3​,ENG
616,nick pope,ENG
617,peter crouch,ENG
618,phil jagielka,ENG
619,phil jones,ENG
620,raheem sterling,ENG
621,rickie lambert,ENG
622,robert green,ENG
623,ross barkley,ENG
624,roy hodgson,ENG
625,ruben loftus-cheek,ENG
626,shaun wright-phillips,ENG
627,stephen warnock,ENG
628,steven gerrard,ENG
629,trent alexander-arnold,ENG
630,wayne rooney,ENG
631,abou diaby,FRA
632,adil rami,FRA
633,alou diarra,FRA
634,alphonse areola,FRA
635,andre-pierre gignac,FRA
636,anthony reveillère,FRA
637,antoine griezmann,FRA
638,bacary sagna,FRA
639,benjamin mendy,FRA
640,benjamin pavard,FRA
641,blaise matuidi,FRA
642,cedric carrasso,FRA
643,corentin tolisso,FRA
644,didier deschamps,FRA
645,djibril cisse,FRA
646,djibril sidibe,FRA
647,eric abidal,FRA
648,florent malouda,FRA
649,florian thauvin,FRA
650,francis coquelin,FRA
651,franck ribery,FRA
652,gael clichy,FRA
653,hugo lloris,FRA
654,jeremy menez,FRA
655,karim benzema,FRA
656,kylian mbappe,FRA
657,laurent koscielny,FRA
658,loic remy,FRA
659,lucas digne,FRA
660,lucas hernandez,FRA
661,mamadou sakho,FRA
662,marc planus,FRA
663,mathieu debuchy,FRA
664,mathieu valbuena,FRA
665,mickael landreau,FRA
666,morgan schneiderlin 3,FRA
667,moussa sissoko,FRA
668,n'golo kante,FRA
669,nabil fekir,FRA
670,nicolas anelka,FRA
671,olivier giroud,FRA
672,ousmane dembele,FRA
673,patrice evra,FRA
674,paul pogba,FRA
675,presnel kimpembe,FRA
676,raphael varane,FRA
677,raymond domenech,FRA
678,remy cabella2,FRA
679,samuel umtiti,FRA
680,sebastien squillaci,FRA
681,sidney govou,FRA
682,stephane ruffier 1,FRA
683,steve mandanda,FRA
684,steven n'zonzi,FRA
685,thierry henry,FRA
686,thomas lemar,FRA
687,william gallas,FRA
688,yoann gourcuff,FRA
689,yohan cabaye,FRA
690,andre schurrle,GER
691,antonio rudiger,GER
692,arne friedrich,GER
693,bastian schweinsteiger,GER
694,benedikt howedes,GER
695,cacau,GER
696,christoph kramer,GER
697,dennis aogo,GER
698,erik durm,GER
699,hans-jorg butt,GER
700,holger badstuber,GER
701,i̇lkay gundoğan,GER
702,jerome boateng,GER
703,joachim low,GER
704,jonas hector,GER
705,joshua kimmich,GER
706,julian brandt,GER
707,julian draxler,GER
708,kevin großkreutz,GER
709,kevin trapp,GER
710,leon goretzka,GER
711,lukas podolski,GER
712,manuel neuer,GER
713,marc-andre ter stegen,GER
714,marcell jansen,GER
715,marco reus,GER
716,mario gomez,GER
717,mario gotze,GER
718,marko marin,GER
719,marvin plattenhardt,GER
720,mats hummels,GER
721,matthias ginter,GER
722,mesut ozil,GER
723,miroslav klose,GER
724,niklas sule,GER
725,per mertesacker,GER
726,philipp lahm,GER
727,piotr trochowski,GER
728,roman weidenfeller,GER
729,ron-robert zieler,GER
730,sami khedira,GER
731,sebastian rudy,GER
732,serdar tasci,GER
733,shkodran mustafi2,GER
734,stefan kießling,GER
735,thomas muller,GER
736,tim wiese,GER
737,timo werner,GER
738,toni kroos,GER
739,adam kwarasey,GHA
740,afriyie acquah,GHA
741,akwasi appiah,GHA
742,albert adomah,GHA
743,andre ayew,GHA
744,anthony annan,GHA
745,asamoah gyan,GHA
746,christian atsu,GHA
747,daniel agyei,GHA
748,daniel opare,GHA
749,derek boateng,GHA
750,dominic adiyiah,GHA
751,emmanuel agyemang-badu,GHA
752,fatau dauda,GHA
753,hans sarpei,GHA
754,harrison afful,GHA
755,ibrahim ayew,GHA
756,isaac vorsah,GHA
757,john boye,GHA
758,john mensah,GHA
759,john pantsil,GHA
760,jonathan mensah,GHA
761,jordan ayew,GHA
762,kevin prince boateng,GHA
763,kwadwo asamoah,GHA
764,lee addy,GHA
765,majeed waris,GHA
766,matthew amoah,GHA
767,michael essien,GHA
768,milovan rajevac,GHA
769,mohammed rabiu,GHA
770,prince tagoe,GHA
771,quincy owusu-abeyie,GHA
772,rashid sumaila,GHA
773,richard kingson,GHA
774,samuel inkoom,GHA
775,stephen ahorlu,GHA
776,stephen appiah,GHA
777,steven adams,GHA
778,sulley muntari,GHA
779,wakaso mubarak,GHA
780,alexandros tziolis,GRE
781,alexandros tzorvas,GRE
782,andreas samaris,GRE
783,angelos charisteas,GRE
784,athanassios prittas,GRE
785,avraam papadopoulos,GRE
786,christos patsatzoglou,GRE
787,dimitris salpingidis,GRE
788,fernando santos,GRE
789,georgios karagounis,GRE
790,georgios samaras,GRE
791,giannis fetfatzidis,GRE
792,giannis maniatis,GRE
793,giorgos karagounis,GRE
794,giorgos tzavellas,GRE
795,giourkas seitaridis,GRE
796,jose holebas,GRE
797,konstantinos chalkias,GRE
798,konstantinos katsouranis,GRE
799,kostas katsouranis,GRE
800,kostas manolas,GRE
801,kostas mitroglou,GRE
802,lazaros christodoulopoulos,GRE
803,loukas vyntra,GRE
804,michalis sifakis,GRE
805,nikos spiropoulos,GRE
806,orestis karnezis,GRE
807,otto rehhagel,GRE
808,panagiotis glykos,GRE
809,panagiotis kone,GRE
810,panagiotis tachtsidis,GRE
811,pantelis kapetanos,GRE
812,sokratis papastathopoulos,GRE
813,sotirios kyrgiakos,GRE
814,sotiris ninis,GRE
815,stefanos kapino,GRE
816,stelios malezas,GRE
817,theofanis gekas,GRE
818,vangelis moras,GRE
819,vasilis torosidis,GRE
820,amado guevara,HON
821,andy najar,HON
822,boniek garcia,HON
823,brayan beckeles,HON
824,carlo costly,HON
825,carlos pavon,HON
826,danilo turcios,HON
827,david suazo,HON
828,donis escober,HON
829,edder delgado,HON
830,edgard alvarez,HON
831,emilio izaguirre,HON
832,georgie welcome,HON
833,hendry thomas,HON
834,jerry bengtson,HON
835,jerry palacios,HON
836,johnny palacios,HON
837,jorge claros,HON
838,juan carlos garcia,HON
839,juan pablo montes,HON
840,julio cesar de leon,HON
841,luis fernando suarez,HON
842,luis garrido,HON
843,luis lopez,HON
844,mario martinez,HON
845,marvin chavez,HON
846,mauricio sabillon,HON
847,maynor figueroa,HON
848,noel valladares,HON
849,oscar boniek garcia,HON
850,osman chavez,HON
851,ramon nuñez,HON
852,reynaldo rueda,HON
853,ricardo canales,HON
854,roger espinoza,HON
855,rony martinez,HON
856,sergio mendoza,HON
857,victor bernardez,HON
858,walter martinez,HON
859,wilson palacios,HON
860,ahmad alenemeh,IRA
861,alireza beiranvand,IRA
862,alireza haghighi,IRA
863,alireza jahanbakhsh,IRA
864,amir abedzadeh,IRA
865,amir hossein sadeghi,IRA
866,andranik teymourian,IRA
867,ashkan dejagah,IRA
868,bakhtiar rahmani,IRA
869,carlos queiroz,IRA
870,daniel davari,IRA
871,ehsan hajsafi,IRA
872,ghasem hadadifar,IRA
873,hashem beikzadeh,IRA
874,hossein mahini,IRA
875,jalal hosseini,IRA
876,javad nekounam,IRA
877,karim ansarifard,IRA
878,khosro heydari,IRA
879,majid hosseini,IRA
880,masoud shojaei,IRA
881,mehdi taremi,IRA
882,mehdi torabi,IRA
883,mehrdad pouladi,IRA
884,milad mohammadi,IRA
885,mohammad rashid mazaheri,IRA
886,mohammad reza khanzadeh,IRA
887,morteza pouraliganji,IRA
888,omid ebrahimi,IRA
889,pejman montazeri,IRA
890,rahman ahmadi,IRA
891,ramin rezaeian,IRA
892,reza ghoochannejhad,IRA
893,reza haghighi,IRA
894,rouzbeh cheshmi,IRA
895,saeid ezatolahi,IRA
896,saman ghoddos,IRA
897,sardar azmoun,IRA
898,steven beitashour,IRA
899,vahid amiri,IRA
900,albert guðmundsson,ISL
901,alfreð finnbogason,ISL
902,ari freyr skulason,ISL
903,arnor ingvi traustason,ISL
904,aron gunnarsson,ISL
905,birkir bjarnason,ISL
906,birkir mar sævarsson,ISL
907,bjorn sigurðarson,ISL
908,emil hallfreðsson,ISL
909,frederik schram,ISL
910,gylfi sigurðsson,ISL
911,hannes þor halldorsson,ISL
912,heimir hallgrimsson,ISL
913,holmar orn eyjolfsson,ISL
914,horður bjorgvin magnusson,ISL
915,johann berg guðmundsson,ISL
916,jon daði boðvarsson,ISL
917,kari arnason,ISL
918,olafur ingi skulason,ISL
919,ragnar sigurðsson,ISL
920,runar alex runarsson,ISL
921,rurik gislason,ISL
922,samuel friðjonsson,ISL
923,sverrir ingi ingason,ISL
924,alberto aquilani,ITA
925,alberto gilardino,ITA
926,alessio cerci,ITA
927,andrea barzagli,ITA
928,andrea pirlo,ITA
929,angelo palombo,ITA
930,antonio candreva,ITA
931,antonio cassano,ITA
932,antonio di natale,ITA
933,cesare prandelli,ITA
934,christian maggio,ITA
935,ciro immobile,ITA
936,claudio marchisio,ITA
937,daniele de rossi,ITA
938,domenico criscito,ITA
939,fabio cannavaro,ITA
940,fabio quagliarella,ITA
941,federico marchetti,ITA
942,gabriel paletta,ITA
943,gennaro gattuso,ITA
944,giampaolo pazzini,ITA
945,gianluca zambrotta,ITA
946,gianluigi buffon,ITA
947,giorgio chiellini,ITA
948,ignazio abate,ITA
949,leonardo bonucci,ITA
950,lorenzo insigne,ITA
951,marcello lippi,ITA
952,marco parolo,ITA
953,marco verratti,ITA
954,mario balotelli,ITA
955,matteo darmian,ITA
956,mattia de sciglio,ITA
957,mattia perin,ITA
958,mauro camoranesi,ITA
959,morgan de sanctis,ITA
960,riccardo montolivo,ITA
961,salvatore bocchetti,ITA
962,salvatore sirigu,ITA
963,simone pepe,ITA
964,thiago motta,ITA
965,vincenzo iaquinta,ITA
966,abdul kader keita,IVC
967,aristide zogbo,IVC
968,arthur boka,IVC
969,aruna dindane,IVC
970,benjamin angoua,IVC
971,boubacar barry,IVC
972,cheick tiote,IVC
973,constant djakpa,IVC
974,daniel yeboah,IVC
975,didier drogba,IVC
976,didier ya konan,IVC
977,didier zokora,IVC
978,emmanuel eboue,IVC
979,emmanuel kone,IVC
980,gervinho,IVC
981,giovanni sio,IVC
982,guy demel,IVC
983,ismael diomande,IVC
984,jean-daniel akpa-akpro,IVC
985,jean-jacques gosso,IVC
986,kolo toure,IVC
987,mathis bolly,IVC
988,max gradel,IVC
989,ousmane diarrassouba,IVC
990,romaric,IVC
991,sabri lamouchi,IVC
992,salomon kalou,IVC
993,sayouba mande,IVC
994,serey die,IVC
995,serge aurier,IVC
996,seydou doumbia,IVC
997,siaka tiene,IVC
998,souleymane bamba,IVC
999,steve gohouri,IVC
1000,sven-goran eriksson,IVC
1001,sylvain gbohouo,IVC
1002,wilfried bony,IVC
1003,yaya toure,IVC
1004,akira nishino,JAP
1005,alberto zaccheroni,JAP
1006,atsuto uchida,JAP
1007,daiki iwamasa,JAP
1008,daisuke matsui,JAP
1009,eiji kawashima,JAP
1010,gaku shibasaki,JAP
1011,gen shoji,JAP
1012,genki haraguchi,JAP
1013,gotoku sakai,JAP
1014,hiroki sakai,JAP
1015,hiroshi kiyotake,JAP
1016,hotaru yamaguchi,JAP
1017,jun'ichi inamoto,JAP
1018,keiji tamada,JAP
1019,keisuke honda,JAP
1020,kengo nakamura,JAP
1021,kisho yano,JAP
1022,kosuke nakamura,JAP
1023,makoto hasebe,JAP
1024,manabu saito,JAP
1025,marcus tulio tanaka,JAP
1026,masaaki higashiguchi,JAP
1027,masahiko inoha,JAP
1028,masato morishige,JAP
1029,maya yoshida,JAP
1030,naomichi ueda,JAP
1031,ryota oshima,JAP
1032,seigo narazaki,JAP
1033,shinji kagawa,JAP
1034,shinji okazaki,JAP
1035,shuichi gonda,JAP
1036,shunsuke nakamura,JAP
1037,shusaku nishikawa,JAP
1038,takashi inui,JAP
1039,takashi usami,JAP
1040,takayuki morimoto,JAP
1041,takeshi okada,JAP
