no partido,seleccion,tirados,anotados,fallados
183,PAR,5,5,0
183,JAP,4,3,1
186,URU,5,4,1
186,GHA,4,2,2
116,CRC,5,5,0
116,GRE,4,3,1
124,NED,4,4,0
124,CRC,5,3,2
126,ARG,4,4,0
126,NED,4,2,2
113,BRA,5,3,2
113,CHI,5,2,3
51,RUS,4,4,0
51,SPA,5,3,2
56,ENG,5,4,1
56,COL,5,3,2
60,CRO,5,4,1
60,RUS,5,3,2
52,CRO,5,3,2
52,DEN,5,2,3
