id,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion
33,rafik saifi,DEL,35,59,istres,2010,ALG
34,rais m'bolhi,POR,24,1,slavia sofia,2010,ALG
34,rais m'bolhi,POR,28,28,cska sofia,2014,ALG
35,riyad mahrez,DEL,23,2,leicester city,2014,ALG
36,ryad boudebouz,CEN,20,1,sochaux,2010,ALG
37,saphir taider,CEN,22,11,inter de milan,2014,ALG
38,sofiane feghouli,DEL,24,19,valencia,2014,ALG
39,vahid halilhodžić,DT,,,,2014,ALG
40,yacine brahimi,CEN,24,6,granada,2014,ALG
41,yazid mansouri,CEN,32,66,fc lorient,2010,ALG
42,abdullah al-khaibari,MED,21,5,al-shabab,2018,ARA
43,abdullah al-mayouf,POR,31,11,al-hilal,2018,ARA
44,abdullah otayf,MED,25,16,al-hilal,2018,ARA
45,abdulmalek al-khaibri,MED,32,36,al-hilal,2018,ARA
46,ali al-bulaihi,DEF,28,4,al-hilal,2018,ARA
47,fahad al-muwallad,DEL,23,45,levante,2018,ARA
48,hattan bahebri,MED,25,5,al-shabab,2018,ARA
49,housain al-mogahwi,MED,30,18,al-ahli,2018,ARA
50,juan antonio pizzi,DT,,,,2018,ARA
51,mansoor al-harbi,DEF,30,40,al-ahli,2018,ARA
52,mohamed kanno,MED,23,6,al-hilal,2018,ARA
53,mohammad al-sahlawi,DEL,31,40,al-nassr,2018,ARA
54,mohammed al-breik,DEF,25,11,al-hilal,2018,ARA
55,mohammed al-owais,POR,26,6,al-ahli,2018,ARA
56,motaz hawsawi,DEF,26,17,al-ahli,2018,ARA
57,muhannad assiri,DEL,31,18,al-ahli,2018,ARA
58,omar hawsawi,DEF,32,42,al-nassr,2018,ARA
59,osama hawsawi,DEF,34,135,al-hilal,2018,ARA
60,salem al-dawsari,MED,26,33,villarreal,2018,ARA
61,salman al-faraj,MED,28,43,al-hilal,2018,ARA
62,taisir al-jassim,MED,33,132,al-ahli,2018,ARA
63,yahya al-shehri,MED,27,57,leganes,2018,ARA
64,yasser al-mosailem,POR,34,32,al-ahli,2018,ARA
65,yasser al-shahrani,DEF,26,37,al-hilal,2018,ARA
66,agustin orion,POR,32,3,boca juniors,2014,ARG
67,alejandro sabella,DT,59,,,2014,ARG
68,angel di maria,MED,22,8,benfica,2010,ARG
68,angel di maria,MED,26,40,real madrid,2014,ARG
68,angel di maria,MED,30,96,psg,2018,ARG
69,ariel garce,DEF,30,4,colon,2010,ARG
70,augusto fernandez,MED,28,5,celta de vigo,2014,ARG
71,carlos tevez,DEL,26,54,manchester city,2010,ARG
72,clemente rodriguez,DEF,28,12,estudiantes de la plata,2010,ARG
73,cristian ansaldi,DEF,31,5,torino,2018,ARG
74,cristian pavon,MED,22,8,boca juniors,2018,ARG
75,diego maradona †,DT,,,,2010,ARG
76,diego milito,DEL,30,21,inter de milan,2010,ARG
77,diego pozo,POR,32,3,colon,2010,ARG
78,eduardo salvio,MED,28,11,benfica,2018,ARG
79,enzo perez,MED,28,6,benfica,2014,ARG
79,enzo perez,MED,32,25,river plate,2018,ARG
80,ever banega,MED,29,64,sevilla,2018,ARG
81,ezequiel garay,DEF,27,13,benfica,2014,ARG
82,ezequiel lavezzi,DEL,29,23,psg,2014,ARG
83,federico fazio,DEF,31,9,roma,2018,ARG
84,federico fernandez,DEF,25,19,napoli,2014,ARG
85,fernando gago,MED,28,45,boca juniors,2014,ARG
86,franco armani,POR,31,1,river plate,2018,ARG
87,gabriel heinze,DEF,32,64,olympique de marsella,2010,ARG
88,gabriel mercado,DEF,31,22,sevilla,2018,ARG
89,giovani lo celso,MED,22,5,psg,2018,ARG
90,gonzalo higuain,DEL,22,5,real madrid,2010,ARG
90,gonzalo higuain,DEL,26,34,napoli,2014,ARG
90,gonzalo higuain,DEL,30,75,juventus,2018,ARG
91,hugo campagnaro,DEF,33,9,inter de milan,2014,ARG
92,javier mascherano,MED,26,57,liverpool,2010,ARG
92,javier mascherano,MED,30,95,barcelona,2014,ARG
92,javier mascherano,MED,34,146,hebei fortune,2018,ARG
93,javier pastore,MED,21,1,palermo,2010,ARG
94,jonas gutierrez,MED,26,16,newcastle united,2010,ARG
95,jorge sampaoli,DT,,,,2018,ARG
96,jose basanta,DEF,30,4,monterrey,2014,ARG
97,juan sebastian veron,MED,35,70,estudiantes de la plata,2010,ARG
98,lionel messi,DEL,23,45,barcelona,2010,ARG
98,lionel messi,DEL,26,84,barcelona,2014,ARG
98,lionel messi,DEL,30,127,barcelona,2018,ARG
99,lucas biglia,MED,28,13,lazio,2014,ARG
99,lucas biglia,MED,32,58,milan,2018,ARG
100,marcos acuña,DEF,26,11,sporting de portugal,2018,ARG
101,marcos rojo,DEF,24,17,sporting de portugal,2014,ARG
101,marcos rojo,DEF,28,58,manchester united,2018,ARG
102,mariano andujar,POR,26,4,catania,2010,ARG
102,mariano andujar,POR,30,8,napoli,2014,ARG
103,mario bolatti,MED,25,5,fiorentina,2010,ARG
104,martin demichelis,DEF,29,25,bayern munich,2010,ARG
104,martin demichelis,DEF,33,37,manchester city,2014,ARG
105,martin palermo,DEL,36,14,boca juniors,2010,ARG
106,maximiliano meza,MED,26,5,independiente,2018,ARG
107,maximiliano rodriguez,MED,29,36,liverpool,2010,ARG
107,maximiliano rodriguez,MED,33,51,newell's old boys,2014,ARG
108,nahuel guzman,POR,32,6,tigres,2018,ARG
109,nicolas burdisso,DEF,29,29,roma,2010,ARG
110,nicolas otamendi,DEF,22,7,velez sarsfield,2010,ARG
110,nicolas otamendi,DEF,30,57,manchester city,2018,ARG
111,nicolas tagliafico,DEF,25,7,ajax,2018,ARG
112,pablo zabaleta,DEF,29,29,manchester city,2014,ARG
113,paulo dybala,DEL,24,13,juventus,2018,ARG
114,ricardo alvarez,MED,26,4,inter de milan,2014,ARG
115,rodrigo palacio,DEL,32,16,inter de milan,2014,ARG
116,sergio aguero,DEL,22,22,atletico de madrid,2010,ARG
116,sergio aguero,DEL,26,48,manchester city,2014,ARG
116,sergio aguero,DEL,30,88,manchester city,2018,ARG
117,sergio romero,POR,23,6,az alkmaar,2010,ARG
117,sergio romero,POR,27,47,monaco,2014,ARG
118,walter samuel,DEF,32,54,inter de milan,2010,ARG
119,wilfredo caballero,POR,36,5,chelsea,2018,ARG
120,aaron mooy,MED,27,34,huddersfield town,2018,AUS
