id,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion
375,carlos sanchez,CEN,32,84,espanyol,2018,COL
376,carlos valdes,DEF,29,14,san lorenzo,2014,COL
377,cristian zapata,DEF,27,24,milan,2014,COL
377,cristian zapata,DEF,31,55,milan,2018,COL
378,david ospina,POR,25,44,niza,2014,COL
378,david ospina,POR,29,85,arsenal,2018,COL
379,davinson sanchez,DEF,22,8,tottenham hotspur,2018,COL
380,eder alvarez balanta,DEF,21,3,river plate,2014,COL
381,farid diaz,DEF,34,13,club olimpia,2018,COL
382,faryd mondragon,POR,42,50,deportivo cali,2014,COL
383,freddy guarin,MED,27,49,inter de milan,2014,COL
384,jackson martinez,DEL,27,27,porto,2014,COL
385,james rodriguez,MED,22,22,monaco,2014,COL
385,james rodriguez,CEN,26,62,bayern munich,2018,COL
386,jefferson lerma,CEN,23,4,levante,2018,COL
387,johan mojica,DEF,25,3,girona,2018,COL
388,jose fernando cuadrado,POR,32,1,once caldas,2018,COL
389,jose izquierdo,DEL,25,4,brighton & hove albion,2018,COL
390,jose pekerman,DT,,,,2014,COL
391,juan fernando quintero,MED,21,1,porto,2014,COL
391,juan fernando quintero,CEN,25,14,river plate,2018,COL
392,juan guillermo cuadrado,MED,26,26,fiorentina,2014,COL
392,juan guillermo cuadrado,CEN,29,69,juventus,2018,COL
393,luis muriel,DEL,27,18,sevilla,2018,COL
394,mario alberto yepes,DEF,38,98,atalanta,2014,COL
395,mateus uribe,CEN,27,7,club america,2018,COL
396,miguel borja,DEL,25,6,palmeiras,2018,COL
397,oscar murillo,DEF,30,12,pachuca,2018,COL
398,pablo armero,DEF,27,53,west ham united,2014,COL
399,radamel falcao,DEL,32,72,a.s.monaco,2018,COL
400,santiago arias,DEF,22,6,psv eindhoven,2014,COL
400,santiago arias,DEF,26,40,psv eindhoven,2018,COL
401,teofilo gutierrez,DEL,29,30,river plate,2014,COL
402,victor ibarbo,MED,24,9,cagliari,2014,COL
403,wilmar barrios,CEN,24,10,boca juniors,2018,COL
404,yerry mina,DEF,23,11,barcelona,2018,COL
405,bryan oviedo,DEF,28,43,sunderland,2018,CRC
406,bryan ruiz,DEL,29,,psv eindhoven,2014,CRC
406,bryan ruiz,MED,32,109,sporting de lisboa,2018,CRC
407,celso borges,CEN,26,,aik,2014,CRC
407,celso borges,MED,30,112,deportivo la coruña,2018,CRC
408,christian bolaños,CEN,30,,copenhague,2014,CRC
408,christian bolaños,MED,34,80,deportivo saprissa,2018,CRC
409,cristian gamboa,DEF,24,,rosenborg ballklub,2014,CRC
409,cristian gamboa,DEF,28,67,celtic,2018,CRC
410,daniel cambronero,POR,26,,herediano,2014,CRC
411,daniel colindres,MED,33,11,deportivo saprissa,2018,CRC
412,dave myrie1,DEF,26,,herediano,2014,CRC
413,david guzman,MED,28,42,portland timbers,2018,CRC
414,diego calvo,CEN,23,,vålerenga,2014,CRC
415,francisco calvo,DEF,25,37,minnesota united,2018,CRC
416,giancarlo gonzalez,DEF,26,,columbus crew,2014,CRC
416,giancarlo gonzalez,DEF,30,69,bologna,2018,CRC
417,ian smith,DEF,20,3,ifk norrkoping,2018,CRC
418,joel campbell,DEL,22,,olympiacos,2014,CRC
418,joel campbell,DEL,25,76,real betis,2018,CRC
419,johan venegas,DEL,29,46,deportivo saprissa,2018,CRC
420,johnny acosta,DEF,30,,alajuelense,2014,CRC
420,johnny acosta,DEF,34,68,aguilas doradas,2018,CRC
421,jorge luis pinto,DT,,,,2014,CRC
422,jose miguel cubero,CEN,27,,herediano,2014,CRC
423,junior diaz,DEF,30,,maguncia 05,2014,CRC
424,kendall waston,DEF,30,26,vancouver whitecaps,2018,CRC
425,kenner gutierrez,DEF,29,9,liga deportiva alajuelense,2018,CRC
426,keylor navas,POR,27,,levante,2014,CRC
426,keylor navas,POR,31,80,real madrid,2018,CRC
427,leonel moreira,POR,29,9,herediano,2018,CRC
428,marco ureña,DEL,24,,kuban krasnodar,2014,CRC
428,marco ureña,DEL,28,63,los angeles fc,2018,CRC
429,michael barrantes,CEN,30,,aalesund,2014,CRC
430,michael umaña,DEF,31,,deportivo saprissa,2014,CRC
431,oscar duarte,DEF,25,,club brujas,2014,CRC
431,oscar duarte,DEF,29,38,español,2018,CRC
432,oscar esteban granados,CEN,22,,herediano,2014,CRC
433,oscar ramirez,DT,,,,2018,CRC
434,patrick pemberton,POR,32,,alajuelense,2014,CRC
434,patrick pemberton,POR,36,39,liga deportiva alajuelense,2018,CRC
435,randall azofeifa,MED,33,57,herediano,2018,CRC
436,randall brenes,DEL,30,,cartagines,2014,CRC
437,rodney wallace,MED,29,30,new york city,2018,CRC
438,roy miller,DEF,29,,new york red bulls,2014,CRC
439,waylon francis,DEF,23,,columbus crew,2014,CRC
440,yeltsin tejeda,CEN,22,,deportivo saprissa,2014,CRC
440,yeltsin tejeda,MED,26,50,lausanne-sport,2018,CRC
441,andrej kramarić,DEL,26,31,tsg hoffenheim,2018,CRO
442,ante rebić,DEL,20,5,fiorentina,2014,CRO
442,ante rebić,DEL,24,16,eintracht frankfurt,2018,CRO
443,danijel pranjić,DEF,32,50,panathinaikos,2014,CRO
444,danijel subašić,POR,29,6,monaco,2014,CRO
444,danijel subašić,POR,33,38,as monaco,2018,CRO
445,darijo srna,DEF,32,113,shakhtar donetsk,2014,CRO
446,dejan lovren,DEF,24,25,southampton,2014,CRO
446,dejan lovren,DEF,28,39,liverpool,2018,CRO
447,domagoj vida,DEF,25,23,dinamo kiev,2014,CRO
447,domagoj vida,DEF,29,59,beşiktaş,2018,CRO
448,dominik livaković,POR,23,1,dinamo zagreb,2018,CRO
449,duje ćaleta-car,DEF,21,1,red bull salzburg,2018,CRO
450,eduardo,DEL,31,63,shakhtar donetsk,2014,CRO
451,filip bradarić,MED,26,4,hnk rijeka,2018,CRO
452,gordon schildenfeld,DEF,29,21,panathinaikos,2014,CRO
453,ivan perišić,CEN,25,29,wolfsburgo,2014,CRO
453,ivan perišić,DEL,29,66,inter de milan,2018,CRO
454,ivan rakitić,CEN,26,62,barcelona,2014,CRO
454,ivan rakitić,MED,30,92,fc barcelona,2018,CRO
455,ivan strinić,DEF,30,43,sampdoria,2018,CRO
456,ivica olić,DEL,34,92,wolfsburgo,2014,CRO
457,josip pivarić,DEF,29,19,dinamo de kiev,2018,CRO
458,lovre kalinić,POR,28,11,kaa gent,2018,CRO
459,luka modrić,CEN,28,75,real madrid,2014,CRO
459,luka modrić,MED,32,106,real madrid,2018,CRO
460,marcelo brozović,CEN,21,1,dinamo zagreb,2014,CRO
460,marcelo brozović,MED,25,35,inter de milan,2018,CRO
461,mario mandžukić,DEL,28,50,bayern munich,2014,CRO
461,mario mandžukić,DEL,32,83,juventus,2018,CRO
462,marko pjaca,DEL,23,16,fc schalke 04,2018,CRO
463,mateo kovačić,CEN,20,10,inter de milan,2014,CRO
463,mateo kovačić,MED,24,41,real madrid,2018,CRO
464,milan badelj,CEN,25,9,hamburgo,2014,CRO
464,milan badelj,MED,29,38,fiorentina,2018,CRO
465,nikica jelavić,DEL,28,33,hull city,2014,CRO
466,niko kovač,DT,,,,2014,CRO
467,nikola kalinić,DEL,30,42,ac milan,2018,CRO
468,ognjen vukojević,CEN,30,55,dinamo kiev,2014,CRO
469,oliver zelenika,POR,21,0,lokomotiva,2014,CRO
470,sammir,CEN,27,6,getafe,2014,CRO
471,stipe pletikosa,POR,35,111,rostov,2014,CRO
472,tin jedvaj,DEF,22,12,bayer 04 leverkusen,2018,CRO
473,vedran ćorluka,DEF,28,72,lokomotiv moscu,2014,CRO
473,vedran ćorluka,DEF,32,99,lokomotiv moscu,2018,CRO
474,zlatko dalić,DT,,,,2018,CRO
475,šime vrsaljko,DEF,22,7,genoa,2014,CRO
475,šime vrsaljko,DEF,26,35,atletico de madrid,2018,CRO
476,andreas christensen,DEF,22,16,chelsea,2018,DEN
477,andreas cornelius,DEL,25,18,atalanta,2018,DEN
478,christian eriksen,MED,18,3,ajax amsterdam,2010,DEN
478,christian eriksen,MED,26,78,tottenham hotspur,2018,DEN
479,christian poulsen,MED,30,73,juventus,2010,DEN
480,daniel agger,DEF,25,31,liverpool fc,2010,DEN
481,daniel jensen,MED,30,48,werder bremen,2010,DEN
482,dennis rommedahl,DEL,31,95,ajax amsterdam,2010,DEN
483,frederik rønnow,POR,25,6,brøndby,2018,DEN
484,henrik dalsgaard,DEF,28,11,brentford,2018,DEN
485,jakob poulsen,MED,26,12,agf aarhus,2010,DEN
486,jannik vestergaard,DEF,25,16,borussia monchengladbach,2018,DEN
487,jens stryger larsen,DEF,27,13,udinese,2018,DEN
488,jesper christiansen,POR,32,11,fc copenhague,2010,DEN
489,jesper grønkjær,DEL,32,77,fc copenhague,2010,DEN
490,jon dahl tomasson,DEL,33,109,feyenoord,2010,DEN
491,jonas knudsen,DEF,25,3,ipswich town,2018,DEN
492,jonas lossl,POR,29,1,huddersfield town,2018,DEN
493,kasper dolberg,DEL,20,6,ajax,2018,DEN
494,kasper schmeichel,POR,31,35,leicester city,2018,DEN
495,lars jacobsen,DEF,30,30,blackburn rovers,2010,DEN
496,lasse schone,MED,32,36,ajax,2018,DEN
497,lukas lerager,MED,24,4,girondins de burdeos,2018,DEN
498,martin braithwaite,DEL,27,20,girondins de burdeos,2018,DEN
499,martin jorgensen,DEL,30,146,acf fiorentina,2010,DEN
500,mathias jørgensen,DEF,28,12,huddersfield town,2018,DEN
501,michael krohn-dehli,MED,35,59,deportivo la coruña,2018,DEN
502,mikkel beckmann,DEL,26,4,randers fc,2010,DEN
503,morten olsen,DT,,,,2010,DEN
504,nicklas bendtner,DEL,22,32,arsenal fc,2010,DEN
505,nicolai jørgensen,DEL,27,31,feyenoord,2018,DEN
506,patrick mtiliga,DEF,29,3,malaga cf,2010,DEN
507,per krøldrup,DEF,30,29,acf fiorentina,2010,DEN
508,pione sisto,DEL,23,14,celta de vigo,2018,DEN
509,simon kjær,DEF,21,9,palermo,2010,DEN
509,simon kjær,DEF,29,78,sevilla,2018,DEN
510,simon poulsen,DEF,26,4,az alkmaar,2010,DEN
511,stephan andersen,POR,28,6,brøndby if,2010,DEN
512,søren larsen,DEL,28,18,duisburgo,2010,DEN
513,thomas delaney,MED,26,27,werder bremen,2018,DEN
514,thomas enevoldsen,MED,22,5,fc groningen,2010,DEN
515,thomas kahlenberg,MED,27,31,vfl wolfsburgo,2010,DEN
516,thomas sørensen,POR,33,86,stoke city,2010,DEN
517,viktor fischer,DEL,24,19,copenhague,2018,DEN
518,william kvist,MED,25,13,fc copenhague,2010,DEN
518,william kvist,MED,33,80,copenhague,2018,DEN
519,yussuf poulsen,DEL,23,28,rb leipzig,2018,DEN
520,åge hareide,DT,,,,2018,DEN
521,adrian bone,POR,25,3,el nacional,2014,ECU
522,alexander dominguez,POR,27,18,ldu quito,2014,ECU
523,antonio valencia,CEN,28,71,manchester united,2014,ECU
524,carlos gruezo,CEN,19,3,stuttgart,2014,ECU
525,christian noboa,CEN,29,42,dinamo moscu,2014,ECU
526,edison mendez,CEN,35,111,independiente santa fe,2014,ECU
527,enner valencia,DEL,24,10,west ham united,2014,ECU
528,felipe caicedo,DEL,25,50,espanyol,2014,ECU
529,fidel martinez,CEN,24,8,tijuana,2014,ECU
530,frickson erazo,DEF,26,37,flamengo,2014,ECU
531,gabriel achilier,DEF,29,23,emelec,2014,ECU
532,jaime ayovi,DEL,26,30,godoy cruz,2014,ECU
533,jefferson montero,CEN,24,40,swansea city,2014,ECU
534,joao rojas,DEL,24,30,cruz azul,2014,ECU
535,jorge guagua,DEF,32,59,emelec,2014,ECU
536,juan carlos paredes,DEF,26,38,watford,2014,ECU
537,luis fernando saritama,CEN,30,49,barcelona sc,2014,ECU
538,maximo banguera,POR,28,25,barcelona,2014,ECU
539,michael arroyo,CEN,27,20,atlante,2014,ECU
540,oscar bagui,DEF,31,21,emelec,2014,ECU
541,oswaldo minda1,CEN,30,18,chivas usa,2014,ECU
542,reinaldo rueda,DT,,,,2014,ECU
543,renato ibarra,CEN,23,18,vitesse,2014,ECU
544,walter ayovi,DEF,34,90,pachuca,2014,ECU
545,abdallah said,MED,32,36,kups kuopio,2018,EGT
546,ahmed al-muhammadi,DEF,30,78,aston villa,2018,EGT
547,ahmed fathy,DEF,33,126,al-ahly,2018,EGT
548,ahmed hegazy,DEF,27,45,west bromwich albion,2018,EGT
549,ali gabr,DEF,29,21,west bromwich albion,2018,EGT
550,amr warda,DEL,24,16,atromitos,2018,EGT
551,ayman ashraf,DEF,27,4,al-ahly,2018,EGT
552,essam el-hadary,POR,45,158,al-taawoun,2018,EGT
553,hector cuper,DT,,,,2018,EGT
554,mahmoud hamdy,DEF,23,0,zamalek,2018,EGT
555,mahmoud kahraba,DEL,24,19,al-ittihad,2018,EGT
556,marwan mohsen,DEL,29,24,al-ahly,2018,EGT
557,mohamed abdel-shafy,DEF,32,51,al-fateh,2018,EGT
558,mohamed el-shenawy,POR,29,3,al-ahly,2018,EGT
559,mohamed elneny,MED,25,61,arsenal,2018,EGT
560,mohamed salah,DEL,25,57,liverpool,2018,EGT
561,omar gaber,MED,26,24,los angeles fc,2018,EGT
562,ramadan sobhi,DEL,21,23,stoke city,2018,EGT
563,saad samir,DEF,29,11,al-ahly,2018,EGT
564,sam morsy,MED,25,5,wigan athletic,2018,EGT
565,sherif ekramy,POR,34,22,al-ahly,2018,EGT
566,shikabala,DEL,32,29,al-raed,2018,EGT
567,tarek hamed,MED,29,21,zamalek,2018,EGT
568,trezeguet,MED,23,24,kasımpaşa,2018,EGT
569,aaron lennon,MED,23,17,tottenham hotspur,2010,ENG
570,adam lallana,CEN,26,,southampton,2014,ENG
571,alex oxlade-chamberlain,CEN,20,,arsenal,2014,ENG
572,ashley cole,DEF,29,78,chelsea,2010,ENG
573,ashley young,DEF,32,34,manchester united,2018,ENG
574,ben foster,POR,31,,west bromwich albion,2014,ENG
575,chris smalling,DEF,24,,manchester united,2014,ENG
576,daniel sturridge,DEL,24,,liverpool,2014,ENG
577,daniel welbeck,DEL,23,,manchester united,2014,ENG
578,danny rose,DEF,27,18,tottenham hotspur,2018,ENG
579,danny welbeck,DEL,27,39,arsenal,2018,ENG
580,david james,POR,39,50,portsmouth,2010,ENG
581,dele alli,MED,22,25,tottenham hotspur,2018,ENG
582,emile heskey,DEL,32,58,aston villa,2010,ENG
583,eric dier,MED,24,26,tottenham hotspur,2018,ENG
584,fabian delph,DEF,28,11,manchester city,2018,ENG
585,fabio capello,DT,,,,2010,ENG
586,frank lampard,MED,31,78,chelsea,2010,ENG
586,frank lampard,CEN,35,,chelsea,2014,ENG
587,fraser forster,POR,26,,celtic,2014,ENG
588,gareth barry,MED,29,36,manchester city,2010,ENG
589,gareth southgate,DT,,,,2018,ENG
590,gary cahill,DEF,28,,chelsea,2014,ENG
590,gary cahill,DEF,27,60,chelsea,2018,ENG
591,glen johnson,DEF,25,22,liverpool,2010,ENG
591,glen johnson,DEF,29,,liverpool,2014,ENG
592,harry kane,DEL,24,24,tottenham hotspur,2018,ENG
593,harry maguire,DEF,25,5,leicester city,2018,ENG
594,jack butland,POR,25,8,stoke city,2018,ENG
595,jack wilshere,CEN,22,,arsenal,2014,ENG
596,james milner,MED,24,8,aston villa,2010,ENG
596,james milner,CEN,28,,manchester city,2014,ENG
597,jamie carragher,DEF,32,36,liverpool,2010,ENG
598,jamie vardy,DEL,31,22,leicester city,2018,ENG
599,jermain defoe,DEL,27,39,tottenham hotspur,2010,ENG
600,jesse lingard,MED,25,12,manchester united,2018,ENG
601,joe cole,MED,28,54,chelsea,2010,ENG
602,joe hart,POR,23,3,birmingham,2010,ENG
602,joe hart,POR,27,,manchester city,2014,ENG
603,john stones,DEF,24,26,manchester city,2018,ENG
604,john terry,DEF,29,60,chelsea,2010,ENG
605,jordan henderson,CEN,23,,liverpool,2014,ENG
605,jordan henderson,MED,27,39,liverpool,2018,ENG
606,jordan pickford,POR,24,3,everton,2018,ENG
607,kieran trippier,DEF,27,26,tottenham hotspur,2018,ENG
608,kyle walker,DEF,28,35,manchester city,2018,ENG
609,ledley king,DEF,29,20,tottenham hotspur,2010,ENG
610,leighton baines,DEF,29,,everton,2014,ENG
611,luke shaw,DEF,18,,southampton,2014,ENG
612,marcus rashford,DEL,20,19,manchester united,2018,ENG
613,matthew upson,DEF,31,19,west ham united,2010,ENG
614,michael carrick,MED,28,22,manchester united,2010,ENG
615,michael dawson3​,DEF,26,0,tottenham hotspur,2010,ENG
616,nick pope,POR,33,1,burnley,2018,ENG
617,peter crouch,DEL,29,38,tottenham hotspur,2010,ENG
618,phil jagielka,DEF,31,,everton,2014,ENG
619,phil jones,DEF,22,,manchester united,2014,ENG
619,phil jones,DEF,26,25,manchester united,2018,ENG
620,raheem sterling,CEN,19,,liverpool,2014,ENG
620,raheem sterling,DEL,23,38,manchester city,2018,ENG
621,rickie lambert,DEL,32,,southampton,2014,ENG
622,robert green,POR,30,10,west ham united,2010,ENG
623,ross barkley,CEN,20,,everton,2014,ENG
624,roy hodgson,DT,,,,2014,ENG
625,ruben loftus-cheek,MED,22,4,chelsea,2018,ENG
626,shaun wright-phillips,MED,28,31,manchester city,2010,ENG
627,stephen warnock,DEF,28,1,aston villa,2010,ENG
628,steven gerrard,MED,30,80,liverpool,2010,ENG
628,steven gerrard,CEN,34,,liverpool,2014,ENG
629,trent alexander-arnold,DEF,19,1,liverpool,2018,ENG
630,wayne rooney,DEL,24,60,manchester united,2010,ENG
630,wayne rooney,DEL,28,,manchester united,2014,ENG
631,abou diaby,MED,24,5,arsenal,2010,FRA
632,adil rami,DEF,23,,olympique de marsella,2014,FRA
632,adil rami,DEF,32,35,olympique de marsella,2018,FRA
633,alou diarra,MED,28,25,girondins de burdeos,2010,FRA
634,alphonse areola,POR,25,0,paris saint-germain,2018,FRA
635,andre-pierre gignac,DEL,24,13,toulouse,2010,FRA
636,anthony reveillère,DEF,30,6,olympique de lyon,2010,FRA
637,antoine griezmann,DEL,23,,atletico de madrid,2014,FRA
637,antoine griezmann,DEL,27,54,atletico de madrid,2018,FRA
638,bacary sagna,DEF,27,20,arsenal,2010,FRA
638,bacary sagna,DEF,31,,arsenal,2014,FRA
639,benjamin mendy,DEF,23,7,manchester city,2018,FRA
640,benjamin pavard,DEF,22,6,vfb stuttgart,2018,FRA
641,blaise matuidi,CEN,27,,paris saint-germain,2014,FRA
641,blaise matuidi,MED,31,67,juventus,2018,FRA
642,cedric carrasso,POR,28,,girondins de burdeos,2010,FRA
643,corentin tolisso,MED,23,9,bayern de munich,2018,FRA
644,didier deschamps,DT,,,,2018,FRA
645,djibril cisse,DEL,28,39,panathinaikos,2010,FRA
646,djibril sidibe,DEF,25,17,monaco,2018,FRA
647,eric abidal,DEF,30,48,barcelona,2010,FRA
648,florent malouda,DEL,29,54,chelsea,2010,FRA
649,florian thauvin,DEL,25,4,olympique de marsella,2018,FRA
650,francis coquelin,CEN,29,,arsenal,2014,FRA
651,franck ribery,MED,27,45,bayern de munich,2010,FRA
652,gael clichy,DEF,24,4,arsenal,2010,FRA
653,hugo lloris,POR,23,11,olympique de lyon,2010,FRA
653,hugo lloris,POR,27,,tottenham hotspur,2014,FRA
653,hugo lloris,POR,31,98,tottenham hotspur,2018,FRA
654,jeremy menez,MED,23,12,as roma,2010,FRA
655,karim benzema,DEL,26,,real madrid,2014,FRA
656,kylian mbappe,DEL,19,15,paris saint-germain,2018,FRA
657,laurent koscielny,CEN,28,,arsenal,2014,FRA
658,loic remy,DEL,27,,newcastle united,2014,FRA
659,lucas digne,DEF,21,,as roma,2014,FRA
660,lucas hernandez,DEF,22,5,atletico de madrid,2018,FRA
661,mamadou sakho,DEF,24,,liverpool,2014,FRA
662,marc planus,DEF,27,1,girondins de burdeos,2010,FRA
663,mathieu debuchy,DEF,29,,arsenal,2014,FRA
664,mathieu valbuena,MED,25,1,olympique de marsella,2010,FRA
665,mickael landreau,POR,35,,bastia,2014,FRA
666,morgan schneiderlin 3,CEN,24,,southampton,2014,FRA
667,moussa sissoko,DEF,24,,newcastle united,2014,FRA
668,n'golo kante,MED,27,24,chelsea,2018,FRA
669,nabil fekir,DEL,24,12,olympique de lyon,2018,FRA
670,nicolas anelka,DEL,31,67,chelsea,2010,FRA
671,olivier giroud,DEL,27,,arsenal,2014,FRA
671,olivier giroud,DEL,31,74,chelsea,2018,FRA
672,ousmane dembele,DEL,21,12,barcelona,2018,FRA
673,patrice evra,DEF,29,30,manchester united,2010,FRA
673,patrice evra,DEF,33,,manchester united,2014,FRA
674,paul pogba,CEN,21,,juventus,2014,FRA
674,paul pogba,MED,25,54,manchester united,2018,FRA
675,presnel kimpembe,DEF,22,2,paris saint-germain,2018,FRA
676,raphael varane,DEF,22,,real madrid,2014,FRA
676,raphael varane,DEF,25,42,real madrid,2018,FRA
677,raymond domenech,DT,,,,2014,FRA
678,remy cabella2,DEL,24,,montpellier,2014,FRA
679,samuel umtiti,DEF,24,19,barcelona,2018,FRA
680,sebastien squillaci,DEF,29,20,sevilla,2010,FRA
681,sidney govou,DEL,30,46,olympique de lyon,2010,FRA
682,stephane ruffier 1,POR,27,,saint-etienne,2014,FRA
683,steve mandanda,POR,25,13,olympique de marsella,2010,FRA
683,steve mandanda,POR,33,27,olympique de marsella,2018,FRA
684,steven n'zonzi,MED,29,4,sevilla,2018,FRA
685,thierry henry,DEL,32,121,barcelona,2010,FRA
686,thomas lemar,DEL,22,12,monaco,2018,FRA
687,william gallas,DEF,32,81,arsenal,2010,FRA
688,yoann gourcuff,MED,23,20,girondins de burdeos,2010,FRA
688,yoann gourcuff,CEN,30,,olympique de lyon,2014,FRA
689,yohan cabaye,CEN,28,,paris saint-germain,2014,FRA
690,andre schurrle,CEN,23,33,chelsea,2014,GER
691,antonio rudiger,DEF,25,24,chelsea,2018,GER
692,arne friedrich,DEF,31,72,hertha berlin,2010,GER
693,bastian schweinsteiger,MED,25,74,bayern de munich,2010,GER
693,bastian schweinsteiger,CEN,29,102,bayern munich,2014,GER
694,benedikt howedes,DEF,26,21,schalke 04,2014,GER
695,cacau,DEL,29,8,stuttgart,2010,GER
696,christoph kramer,CEN,23,2,borussia monchengladbach,2014,GER
697,dennis aogo,DEF,23,2,hamburgo,2010,GER
698,erik durm,DEF,22,1,borussia dortmund,2014,GER
699,hans-jorg butt,POR,36,1,bayern de munich,2010,GER
700,holger badstuber,DEF,21,2,bayern de munich,2010,GER
701,i̇lkay gundoğan,MED,27,26,manchester city,2018,GER
702,jerome boateng,DEF,21,5,hamburgo,2010,GER
702,jerome boateng,DEF,25,39,bayern munich,2014,GER
702,jerome boateng,DEF,29,71,bayern munich,2018,GER
703,joachim low,DT,,,,2010,GER
703,joachim low,DT,,,,2014,GER
703,joachim low,DT,,,,2018,GER
704,jonas hector,DEF,28,38,1. fc colonia,2018,GER
705,joshua kimmich,DEF,23,29,bayern munich,2018,GER
706,julian brandt,MED,22,16,bayer 04 leverkusen,2018,GER
707,julian draxler,CEN,20,11,schalke 04,2014,GER
707,julian draxler,MED,24,44,paris saint-germain,2018,GER
708,kevin großkreutz,DEF,25,5,borussia dortmund,2014,GER
709,kevin trapp,POR,27,3,paris saint-germain,2018,GER
710,leon goretzka,MED,23,15,fc schalke 04,2018,GER
711,lukas podolski,DEL,25,73,koln,2010,GER
711,lukas podolski,CEN,29,114,arsenal,2014,GER
712,manuel neuer,POR,24,5,schalke 04,2010,GER
712,manuel neuer,POR,28,45,bayern munich,2014,GER
712,manuel neuer,POR,32,76,bayern munich,2018,GER
713,marc-andre ter stegen,POR,26,20,fc barcelona,2018,GER
714,marcell jansen,MED,24,31,hamburgo,2010,GER
715,marco reus,DEL,29,31,borussia dortmund,2018,GER
716,mario gomez,DEL,24,34,bayern de munich,2010,GER
716,mario gomez,DEL,32,75,vfb stuttgart,2018,GER
717,mario gotze,CEN,22,29,bayern munich,2014,GER
718,marko marin,MED,21,9,werder bremen,2010,GER
719,marvin plattenhardt,DEF,26,6,hertha berlin,2018,GER
720,mats hummels,DEF,25,30,borussia dortmund,2014,GER
720,mats hummels,DEF,29,64,bayern munich,2018,GER
721,matthias ginter,CEN,20,2,friburgo,2014,GER
721,matthias ginter,DEF,24,18,borussia monchengladbach,2018,GER
722,mesut ozil,MED,21,10,werder bremen,2010,GER
722,mesut ozil,CEN,25,55,arsenal,2014,GER
722,mesut ozil,MED,29,90,arsenal,2018,GER
723,miroslav klose,DEL,32,96,bayern de munich,2010,GER
723,miroslav klose,DEL,36,132,lazio,2014,GER
724,niklas sule,DEF,22,11,bayern munich,2018,GER
725,per mertesacker,DEF,25,62,werder bremen,2010,GER
725,per mertesacker,DEF,29,98,arsenal,2014,GER
726,philipp lahm,DEF,26,65,bayern de munich,2010,GER
726,philipp lahm,DEF,30,106,bayern munich,2014,GER
727,piotr trochowski,MED,26,31,hamburgo,2010,GER
728,roman weidenfeller,POR,33,3,borussia dortmund,2014,GER
729,ron-robert zieler,POR,25,3,hannover 96,2014,GER
730,sami khedira,MED,23,5,stuttgart,2010,GER
730,sami khedira,CEN,27,46,real madrid,2014,GER
730,sami khedira,MED,31,75,juventus,2018,GER
731,sebastian rudy,MED,28,25,bayern munich,2018,GER
732,serdar tasci,DEF,23,12,stuttgart,2010,GER
733,shkodran mustafi2,DEF,22,1,sampdoria,2014,GER
734,stefan kießling,DEL,26,4,bayer 04 leverkusen,2010,GER
735,thomas muller,MED,20,2,bayern de munich,2010,GER
735,thomas muller,CEN,24,49,bayern munich,2014,GER
735,thomas muller,MED,28,91,bayern munich,2018,GER
736,tim wiese,POR,28,2,werder bremen,2010,GER
737,timo werner,DEL,22,14,rb leipzig,2018,GER
738,toni kroos,MED,20,4,bayer 04 leverkusen,2010,GER
738,toni kroos,CEN,24,44,bayern munich,2014,GER
738,toni kroos,MED,28,83,real madrid,2018,GER
739,adam kwarasey,POR,,,strømsgodset,2014,GHA
740,afriyie acquah,CEN,,,parma,2014,GHA
741,akwasi appiah,DT,,,,2014,GHA
742,albert adomah,CEN,,,middlesbrough,2014,GHA
743,andre ayew,MED,20,20,ac arles,2010,GHA
743,andre ayew,CEN,,,olympique de marsella,2014,GHA
744,anthony annan,MED,23,31,rosenborg ballklub,2010,GHA
745,asamoah gyan,DEL,24,38,stade rennais,2010,GHA
745,asamoah gyan,DEL,,,al-ain,2014,GHA
746,christian atsu,CEN,,,chelsea fc,2014,GHA
747,daniel agyei,POR,20,2,liberty professionals,2010,GHA
748,daniel opare,DEF,,,fc porto,2014,GHA
749,derek boateng,MED,27,21,getafe cf,2010,GHA
750,dominic adiyiah,DEL,20,5,milan,2010,GHA
751,emmanuel agyemang-badu,CEN,,,udinese,2014,GHA
752,fatau dauda,POR,,,orlando pirates,2014,GHA
753,hans sarpei,DEF,33,29,bayer leverkusen,2010,GHA
754,harrison afful,DEF,,,esperance,2014,GHA
755,ibrahim ayew,DEF,22,6,zamalek,2010,GHA
756,isaac vorsah,DEF,21,13,hoffenheim,2010,GHA
757,john boye,DEF,,,stade rennes,2014,GHA
758,john mensah,DEF,27,63,sunderland,2010,GHA
759,john pantsil,DEF,28,55,fulham fc,2010,GHA
760,jonathan mensah,DEF,19,3,granada cf,2010,GHA
760,jonathan mensah,DEF,,,evian thonon gaillard,2014,GHA
761,jordan ayew,DEL,,,olympique de marseille,2014,GHA
762,kevin prince boateng,DEL,23,,portsmouth fc,2010,GHA
762,kevin prince boateng,CEN,,,schalke 04,2014,GHA
763,kwadwo asamoah,MED,21,14,udinese,2010,GHA
763,kwadwo asamoah,CEN,,,juventus,2014,GHA
764,lee addy,DEF,24,9,berekum chelsea f.c.,2010,GHA
765,majeed waris,DEL,,,fc spartak moskva,2014,GHA
766,matthew amoah,DEL,29,41,nac breda,2010,GHA
