#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jung Sung-ryong,POR,29,,Suwon Bluewings,2014
2,Kim Chang-soo,DEF,28,,Kashiwa Reysol,2014
3,Yun Suk-young,DEF,24,,Queens Park Rangers,2014
4,Kwak Tae-hwi,DEF,32,,Al-Hilal,2014
5,Kim Young-gwon,DEF,24,,Guangzhou Evergrande,2014
6,Hwang Seok-ho,DEF,24,,Sanfrecce Hiroshima,2014
7,Kim Bo-kyung,CEN,24,,Cardiff City,2014
8,Ha Dae-sung,CEN,29,,Beijing Guoan,2014
9,Son Heung-min,CEN,21,,Bayer Leverkusen,2014
10,Park Chu-young,DEL,28,,Watford,2014
11,Lee Keun-ho,DEL,29,,Sangju Sangmu,2014
12,Lee Yong,DEF,27,,Ulsan Hyundai,2014
13,Koo Ja-cheol,DEL,25,,Maguncia 05,2014
14,Han Kook-young,CEN,24,,Kashiwa Reysol,2014
15,Park Jong-woo,CEN,25,,Guangzhou R&F,2014
16,Ki Sung-yueng,CEN,25,,Sunderland,2014
17,Lee Chung-yong,CEN,25,,Bolton Wanderers,2014
18,Kim Shin-wook,DEL,26,,Ulsan Hyundai,2014
19,Ji Dong-won,CEN,23,,Augsburgo,2014
20,Hong Jeong-ho,DEF,24,,Augsburgo,2014
21,Kim Seung-gyu,POR,23,,Ulsan Hyundai,2014
22,Park Joo-ho,DEF,27,,1. FSV Maguncia 05,2014
23,Lee Bum-young,POR,25,,Busan I'Park,2014
24,Hong Myung-bo,DT,,,,2014
