#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Loic Feudjou,POR,,,Coton SPORt,2014
2,Benoit Assou-Ekotto,DEF,,,Queens Park Rangers,2014
3,Nicolas N'Koulou,DEF,,,Olympique de Marsella,2014
4,Cedric Djeugoue,DEF,,,Coton SPORt,2014
5,Dany Nounkeu,DEF,,,Beşiktaş,2014
6,Alexandre Song,CEN,,,Barcelona,2014
7,Landry N'Guemo,CEN,,,Girondins de Bordeaux,2014
8,Benjamin Moukandjo,DEL,,,Nancy,2014
9,Samuel Eto'o,DEL,,,Chelsea,2014
10,Vincent Aboubakar,DEL,,,Lorient,2014
11,Jean II Makoun,CEN,,,Stade Rennes,2014
12,Henri Bedimo,DEF,,,Olympique de Lyon,2014
13,Eric Maxim Choupo-Moting,DEL,,,Maguncia 05,2014
14,Aurelien Chedjou,DEF,,,Galatasaray,2014
15,Pierre Webo,DEL,,,Fenerbahçe,2014
16,Charles Itandje,POR,,,KonyasPOR,2014
17,Stephane Mbia,CEN,,,Sevilla,2014
18,Eyong Enoh,CEN,,,AntalyasPOR,2014
19,Fabrice Olinga,DEL,,,Zulte Waregem,2014
20,Edgar Salli,CEN,,,Lens,2014
21,Joel Matip,CEN,,,Schalke 04,2014
22,Allam Nyom,DEF,,,Granada,2014
23,Sammy N'Djock,POR,,,FethiyesPOR,2014
24,Volker Finke,DT,,,,2014
