#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Jefferson,POR,31,9,Botafogo,2014
2,Dani Alves,DEF,31,75,FC Barcelona,2014
3,Thiago Silva,DEF,29,46,Paris Saint-Germain,2014
4,David Luiz,DEF,27,36,Chelsea,2014
5,Fernandinho,CEN,29,7,Manchester City,2014
6,Marcelo,DEF,26,31,Real Madrid,2014
7,Hulk,DEL,27,35,Zenit San Petersburgo,2014
8,Paulinho,CEN,25,26,Tottenham Hotspur,2014
9,Fred,DEL,30,33,Fluminense,2014
10,Neymar Jr,DEL,22,49,FC Barcelona,2014
11,Oscar,CEN,22,31,Chelsea,2014
12,Julio Cesar,POR,34,80,Toronto,2014
13,Dante,DEF,30,12,Bayern de Munich,2014
14,Maxwell,DEF,32,9,Paris Saint-Germain,2014
15,Henrique,DEF,27,5,Napoli,2014
16,Ramires,CEN,27,42,Chelsea,2014
17,Luiz Gustavo,CEN,26,19,Wolfsburgo,2014
18,Hernanes,CEN,29,24,Inter de Milan,2014
19,Willian,CEN,25,7,Chelsea,2014
20,Bernard,DEL,21,11,Shakhtar Donetsk,2014
21,Jo,DEL,27,27,Atletico Mineiro,2014
22,Victor,POR,31,6,Atletico Mineiro,2014
23,Maicon,DEF,32,72,Roma,2014
24,Luiz Felipe Scolari,DT,,,,2014
