no partido,jugador,tiempo,extra,tipo de gol,seleccion
158,shinji okazaki,87,,,JAP
45,takashi inui,34,,,JAP
54,takashi inui,52,,,JAP
158,yasuhito endo,30,,,JAP
43,yuya osako,73,,,JAP
12,khalid boutaib,14,,,MAR
12,youssef en-nesyri,81,,,MAR
70,andres guardado,75,,,MEX
33,carlos vela,26,,,MEX
35,edson alvarez,74,,AG,MEX
115,giovani dos santos,48,,,MEX
31,hirving lozano,35,,,MEX
33,javier hernandez,66,,,MEX
70,javier hernandez,82,,,MEX
132,javier hernandez,64,,,MEX
180,javier hernandez,71,,,MEX
66,oribe peralta,61,,,MEX
70,rafael marquez,72,,,MEX
129,rafael marquez,79,,,MEX
71,arjen robben,53,,,NED
71,arjen robben,80,,,NED
73,arjen robben,20,,,NED
181,arjen robben,18,,,NED
189,arjen robben,73,,,NED
127,daley blind,17,,,NED
153,dirk kuyt,85,,,NED
127,georginio wijnaldum,90,1,,NED
189,giovanni van bronckhorst,18,,,NED
76,leroy fer,77,,,NED
73,memphis depay,68,,,NED
76,memphis depay,90,,,NED
71,robin van persie,44,,,NED
71,robin van persie,72,,,NED
73,robin van persie,58,,,NED
127,robin van persie,3,,,NED
157,robin van persie,36,,,NED
71,stefan de vrij,65,,,NED
115,wesley sneijder,88,,,NED
155,wesley sneijder,53,,,NED
181,wesley sneijder,84,,,NED
185,wesley sneijder,53,,,NED
185,wesley sneijder,68,,,NED
189,wesley sneijder,70,,,NED
22,ahmed musa,49,,,NGR
22,ahmed musa,75,,,NGR
100,ahmed musa,4,,,NGR
100,ahmed musa,47,,,NGR
118,joseph yobo,90,2,AG,NGR
138,kalu uche,16,,,NGR
140,kalu uche,12,,,NGR
20,oghenekaro etebo,32,,AG,NGR
98,peter odemwingie,29,,,NGR
24,victor moses,51,,,NGR
140,yakubu aiyegbeni,69,,,NGR
162,shane smeltz,7,,,NZL
160,winston reid,90,3,,NZL
159,antolin alcaraz,39,,,PAR
161,cristian riveros,86,,,PAR
161,enrique vera,27,,,PAR
17,andre carrillo,18,,,PER
17,paolo guerrero,50,,,PER
44,grzegorz krychowiak,86,,,POL
47,jan bednarek,59,,,POL
8,cristiano ronaldo,4,,,POR
8,cristiano ronaldo,44,,,POR
8,cristiano ronaldo,88,,,POR
9,cristiano ronaldo,4,,,POR
105,cristiano ronaldo,80,,,POR
168,cristiano ronaldo,87,,,POR
168,hugo almeida,56,,,POR
168,liedson,81,,,POR
104,nani,5,,,POR
50,pepe,55,,,POR
168,raul meireles,29,,,POR
11,ricardo quaresma,45,,,POR
104,silvestre varela,90,5,,POR
168,tiago,60,,,POR
168,tiago,89,,,POR
1,aleksandr golovin,90,4,,RUS
1,denis cheryshev,43,,,RUS
1,denis cheryshev,90,1,,RUS
3,denis cheryshev,59,,,RUS
6,denis cheryshev,23,,AG,RUS
60,denis cheryshev,31,,,RUS
44,m'baye niang,60,,,SEN
45,moussa wague,71,,,SEN
45,sadio mane,11,,,SEN
164,kamil kopunek,89,,,SLK
160,robert vittek,50,,,SLK
164,robert vittek,25,,,SLK
164,robert vittek,73,,,SLK
181,robert vittek,90,4,,SLK
142,robert koren,79,,,SLN
143,valter birsa,13,,,SLN
133,bongani khumalo,20,,,SOA
133,katlego mphela,37,,,SOA
129,siphiwe tshabalala,55,,,SOA
175,andres iniesta,37,,,SPA
192,andres iniesta,116,,,SPA
190,carles puyol,73,,,SPA
75,david villa,36,,,SPA
174,david villa,17,,,SPA
174,david villa,51,,,SPA
175,david villa,24,,,SPA
184,david villa,63,,,SPA
188,david villa,83,,,SPA
8,diego costa,24,,,SPA
8,diego costa,55,,,SPA
10,diego costa,54,,,SPA
75,fernando torres,69,,,SPA
12,iago aspas,90,1,,SPA
12,isco,19,,,SPA
75,juan mata,82,,,SPA
71,xabi alonso,27,,,SPA
25,aleksandar kolarov,56,,,SRB
32,andreas granqvist,65,,,SUE
35,andreas granqvist,62,,,SUE
35,ludwig augustinsson,50,,,SUE
34,ola toivonen,32,,,SUE
89,admir mehmedi,48,,,SWZ
172,gelson fernandes,52,,,SWZ
28,granit xhaka,52,,,SWZ
91,granit xhaka,87,,,SWZ
26,steven zuber,50,,,SWZ
28,xherdan shaqiri,90,,,SWZ
94,xherdan shaqiri,6,,,SWZ
94,xherdan shaqiri,31,,,SWZ
94,xherdan shaqiri,71,,,SWZ
30,yann sommer,90,3,,SWZ
39,dylan bronn,18,,,TNZ
42,fakhreddine ben youssef,51,,,TNZ
39,wahbi khazri,90,3,,TNZ
42,wahbi khazri,66,,,TNZ
42,yassine meriah,33,,AG,TNZ
131,alvaro pereira,90,5,,URU
131,diego forlan,24,,,URU
131,diego forlan,80,,,URU
189,diego forlan,41,,,URU
191,diego forlan,51,,,URU
88,diego godin,81,,,URU
6,edinson cavani,90,,,URU
50,edinson cavani,7,,,URU
50,edinson cavani,62,,,URU
83,edinson cavani,24,,,URU
191,edinson cavani,28,,,URU
2,jose maria gimenez,89,,,URU
4,luis suarez,23,,,URU
6,luis suarez,10,,,URU
85,luis suarez,39,,,URU
85,luis suarez,85,,,URU
134,luis suarez,43,,,URU
177,luis suarez,8,,,URU
177,luis suarez,80,,,URU
189,maximiliano pereira,90,2,,URU
102,clint dempsey,1,,,USA
104,clint dempsey,81,,,USA
141,clint dempsey,40,,,USA
104,jermaine jones,64,,,USA
120,julian green,107,,,USA
143,landon donovan,48,,,USA
146,landon donovan,90,1,,USA
178,landon donovan,62,,,USA
143,michael bradley,82,,,USA
