#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Konstantinos Chalkias,POR,36,26,PAOK Salonica FC,2010
2,Giourkas Seitaridis,DEF,29,69,Panathinaikos,2010
3,Christos Patsatzoglou,DEF,31,42,AC Omonia,2010
4,Nikos Spiropoulos,DEF,26,18,Panathinaikos,2010
5,Vangelis Moras,DEF,28,11,Bologna,2010
6,Alexandros Tziolis,MED,25,18,AC Siena,2010
7,Georgios Samaras,DEL,25,33,Celtic FC,2010
8,Avraam Papadopoulos,DEF,25,13,Olympiacos FC,2010
9,Angelos Charisteas,DEL,30,84,Nuremberg,2010
10,Georgios Karagounis,MED,33,93,Panathinaikos,2010
11,Loukas Vyntra,DEF,29,28,Panathinaikos,2010
12,Alexandros Tzorvas,POR,27,8,Panathinaikos,2010
13,Michalis Sifakis,POR,25,2,Aris Salonica FC,2010
14,Dimitris Salpingidis,DEL,28,35,Panathinaikos,2010
15,Vasilis Torosidis,DEF,25,26,Olympiacos FC,2010
16,Sotirios Kyrgiakos,DEF,30,58,Liverpool,2010
17,Theofanis Gekas,DEL,30,47,Hertha de Berlin,2010
18,Sotiris Ninis,MED,20,4,Panathinaikos,2010
19,Sokratis Papastathopoulos,DEF,22,9,Genoa FC,2010
20,Pantelis Kapetanos,DEL,27,3,Steaua Bucarest,2010
21,Konstantinos Katsouranis,MED,30,69,Panathinaikos,2010
22,Stelios Malezas,DEF,25,,PAOK Salonica FC,2010
23,Athanassios Prittas,MED,31,,Aris Salonica FC,2010
24,Otto Rehhagel,DT,,,,2010
