#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Diego Pozo,POR,32,3,Colon,2010
2,Martin Demichelis,DEF,29,25,Bayern Munich,2010
3,Clemente Rodriguez,DEF,28,12,Estudiantes de La Plata,2010
4,Nicolas Burdisso,DEF,29,29,Roma,2010
5,Mario Bolatti,MED,25,5,Fiorentina,2010
6,Gabriel Heinze,DEF,32,64,Olympique de Marsella,2010
7,Angel Di Maria,MED,22,8,Benfica,2010
8,Juan Sebastian Veron,MED,35,70,Estudiantes de La Plata,2010
9,Gonzalo Higuain,DEL,22,5,Real Madrid,2010
10,Lionel Messi,DEL,23,45,Barcelona,2010
11,Carlos Tevez,DEL,26,54,Manchester City,2010
12,Ariel Garce,DEF,30,4,Colon,2010
13,Walter Samuel,DEF,32,54,Inter de Milan,2010
14,Javier Mascherano,MED,26,57,Liverpool,2010
15,Nicolas Otamendi,DEF,22,7,Velez Sarsfield,2010
16,Sergio Aguero,DEL,22,22,Atletico de Madrid,2010
17,Jonas Gutierrez,MED,26,16,Newcastle United,2010
18,Martin Palermo,DEL,36,14,Boca Juniors,2010
19,Diego Milito,DEL,30,21,Inter de Milan,2010
20,Maximiliano Rodriguez,MED,29,36,Liverpool,2010
21,Mariano Andujar,POR,26,4,Catania,2010
22,Sergio Romero,POR,23,6,AZ Alkmaar,2010
23,Javier Pastore,MED,21,1,Palermo,2010
24,Diego Maradona †,DT,,,,2010
