No. partido,Seleccion,Jugador,Tiempo,extra,tipo
166,BRA,Maicon,25,,
191,GER,Marcell Jansen,56,,
65,BRA,Marcelo,11,,AG
34,GER,Marco Reus,48,,
83,CRC,Marco Ureña,84,,
24,ARG,Marcos Rojo,86,,
100,ARG,Marcos Rojo,50,,
84,ITA,Mario Balotelli,50,,
60,RUS,Mario Fernandez,115,,
103,GER,Mario Gotze,51,,
128,GER,Mario Gotze,113,,
52,CRO,Mario Mandzukic,4,,
62,CRO,Mario Mandzukic,109,,
64,CRO,Mario Mandzukic,18,,AG
64,CRO,Mario Mandzukic,69,,
68,CRO,Mario Mandzukic,61,,
68,CRO,Mario Mandzukic,73,,
173,CHI,Mark Gonzalez,75,,
151,SRB,Marko Pantelic,84,,
54,BEL,Marouane Fellini,74,,
107,BEL,Marouane Fellini,70,,
139,ARG,Martin Demichelis,77,,
139,ARG,Martin Palermo,89,,
52,DEN,Mathias Jorgensen,1,,
91,FRA,Mathieu Valbuena,40,,
101,GER,Mats Hummels,32,,
121,GER,Mats Hummels,13,,
179,ENG,Matt Upson,37,,
189,URU,Maximiliano Pereira,90,2,
73,NED,Memphis Depay,68,,
76,NED,Memphis Depay,90,,
117,GER,Mesut Ozil,120,2,
152,GER,Mesut Ozil,60,,
143,USA,Michael Bradley,82,,
39,BEL,Michy Batshuayi,90,,
23,CRO,Milan Badelj,53,,
149,SRB,Milan Jovanovic,38,,
13,AUS,Mile Jedinak,62,,
15,AUS,Mile Jedinak,38,,
73,AUS,Mile Jedinak,54,,
99,BOS,Miralem Pjanic,59,,
103,GER,Miroslav Klose,71,,
125,GER,Miroslav Klose,23,,
148,GER,Miroslav Klose,26,,
179,GER,Miroslav Klose,20,,
187,GER,Miroslav Klose,68,,
187,GER,Miroslav Klose,89,,
3,EGT,Mohamed Salah,73,,
5,EGT,Mohamed Salah,22,,
91,FRA,Moussa Sissoko,73,,
45,SEN,Moussa Wague,71,,
54,BEL,Nacer Chadli,90,4,
8,SPA,Nacho,58,,
104,POR,Nani,5,,
27,BRA,Neymar Jr,90,7,
53,BRA,Neymar Jr,51,,
65,BRA,Neymar Jr,29,,
65,BRA,Neymar Jr,71,,
69,BRA,Neymar Jr,17,,
69,BRA,Neymar Jr,34,,
156,DEN,Nicklas Bendtner,33,,
90,HON,Noel Valladares,48,,AG
20,NGR,Oghenekaro Etebo,32,,AG
34,SUE,Ola Toivonen,32,,
91,FRA,Olivier Giroud,17,,
66,MEX,Oribe Peralta,61,,
65,BRA,Oscar,90,1,
125,BRA,Oscar,90,,
83,CRC,Oscar Duarte,57,,
77,COL,Pablo Armero,5,,
17,PER,Paolo Guerrero,50,,
64,FRA,Paul Pogba,59,,
118,FRA,Paul Pogba,79,,
29,BRA,Paulinho,36,,
50,POR,Pepe,55,,
98,NGR,Peter Odemwingie,29,,
26,BRA,Philippe Coutinho,20,,
27,BRA,Philippe Coutinho,90,1,
46,COL,Radamel Falcao,70,,
70,MEX,Rafael Marquez,72,,
129,MEX,Rafael Marquez,79,,
110,ALG,Rafik Halliche,28,,
57,FRA,Raphael Varane 40,,,
168,POR,Raul Meireles,29,,
58,BRA,Renato Augusto 76,76,,
99,IRA,Reza Ghoochannejhad,82,,
11,POR,Ricardo Quaresma,45,,
142,SLN,Robert Koren,79,,
160,SLK,Robert Vittek,50,,
164,SLK,Robert Vittek,25,,
164,SLK,Robert Vittek,73,,
181,SLK,Robert Vittek,90,4,
53,BRA,Roberto Firmino,88,,
71,NED,Robin Van Persie,44,,
71,NED,Robin Van Persie,72,,
73,NED,Robin Van Persie,58,,
127,NED,Robin Van Persie,3,,
157,NED,Robin Van Persie,36,,
182,BRA,Robinho,59,,
185,BRA,Robinho,10,,
175,CHI,Rodrigo Millar,47,,
169,IVC,Romaric,20,,
37,BEL,Romelu Lukaku,69,,
37,BEL,Romelu Lukaku,75,,
39,BEL,Romelu Lukaku,16,,
39,BEL,Romelu Lukaku,45,3,
120,BEL,Romelu Lukaku,105,,
45,SEN,Sadio Mane,11,,
5,ARA,Salem Al-Dawsari,90,5,
5,ARA,Salman Al-Faraj,45,6,
169,IVC,Salomon Kalou,82,,
125,GER,Sami Khedira,29,,
191,GER,Sami Khedira,82,,
156,CAM,Samuel Etoo,10,,
157,CAM,Samuel Etoo,65,,
61,FRA,Samuel Umtiti,51,,
95,BOS,Sead Kolasinac,3,,AG
51,RUS,Sergei Ignashevich,12,,AG
19,ARG,Sergio Aguero,19,,
49,ARG,Sergio Aguero,90,32,
162,NZL,Shane Smeltz,7,,
43,JAP,Shinji Kagawa,6,,
82,JAP,Shinji Okazaki,45,1,
158,JAP,Shinji Okazaki,87,,
104,POR,Silvestre Varela,90,5,
168,POR,Simao,53,,
129,SOA,Siphiwe tshabalala,55,,
107,ALG,Sofiane Feghouli,25,,
116,GRE,Sokratis Papastathopoulos,90,1,
71,NED,Stefan De Vrij,65,,
141,ENG,Steven Gerrard,4,,
26,SWZ,Steven Zuber,50,,
45,JAP,Takashi Inui,34,,
54,JAP,Takashi Inui,52,,
77,COL,Teofilo Gutierrez,58,,
44,SEN,Thiago Cionek,37,,AG
29,BRA,Thiago Silva,68,,
122,BRA,Thiago Silva,7,,
63,BEL,Thomas Meunier,4,,
101,GER,Thomas Muller,12,,
101,GER,Thomas Muller,45,1,
101,GER,Thomas Muller,78,,
106,GER,Thomas Muller,55,,
125,GER,Thomas Muller,11,,
148,GER,Thomas Muller,68,,
179,GER,Thomas Muller,67,,
179,GER,Thomas Muller,70,,
187,GER,Thomas Muller,3,,
191,GER,Thomas Muller,19,,
168,POR,Tiago,60,,
168,POR,Tiago,89,,
72,AUS,Tim Cahil,35,,
73,AUS,tim Cahil,21,,
151,AUS,Tim Cahil,69,,
34,GER,Toni Kroos,90,5,
125,GER,Toni Kroos,24,,
125,GER,Toni Kroos,26,,
143,SLN,Valter Birsa,13,,
138,GRE,Vasileios Torosidis,,,
95,BOS,Vedad Ibisevic,84,,
24,NGR,Victor Moses,51,,
162,ITA,Vincenzo Laquinta,29,,
39,TNZ,Wahbi Khazri,90,3,
42,TNZ,Wahbi Khazri,66,,
85,ENG,Wayne Rooney,75,,
115,NED,Wesley Sneijder,88,,
155,NED,Wesley Sneijder,53,,
181,NED,Wesley Sneijder,84,,
185,NED,Wesley Sneijder,53,,
185,NED,Wesley Sneijder,68,,
189,NED,Wesley Sneijder,70,,
78,IVC,Wilfried Bony,64,,
81,IVC,Wilfried Bony,74,,
160,NZL,Winston Reid,90,3,
71,SPA,Xabi Alonso,27,,
28,SWZ,Xherdan Shaqiri,90,,
94,SWZ,Xherdan Shaqiri,6,,
94,SWZ,Xherdan Shaqiri,31,,
94,SWZ,Xherdan Shaqiri,71,,
110,ALG,Yacine Brahimi,62,,
140,NGR,Yakubu Aiyegbeni,69,,
30,SWZ,Yann Sommer,90,3,
42,TNZ,Yassine Meriah,33,,AG
158,JAP,Yasuhito Endo,30,,
169,IVC,Yaya Toure,14,,
46,COL,Yerry Mina,40,,
48,COL,Yerry Mina,74,,
56,COL,Yerry Mina,90,3,
36,SOK,Young-Gwon Kim,90,3,
12,MAR,Youssef En-Nesyri,81,,
166,DPR,Yun Nam Ji,89,,
1,RUS,Yury Gazinsky,12,,
14,DEN,Yussuf Poulsen,59,,
43,JAP,Yuya Osako,73,,
143,SLN,Zlatan Ljubijankic,42,,
