110,ALG,abdelmoumene djabou,38,               ,,3
110,ALG,islam slimani,26,               ,,18
111,ALG,islam slimani,60,               ,,18
110,ALG,rafik halliche,28,               ,,32
107,ALG,sofiane feghouli,25,               ,,38
110,ALG,yacine brahimi,62,               ,,40
5,ARA,salem al-dawsari,90,5,,60
5,ARA,salman al-faraj,45,6,,61
49,ARG,angel di maria,41,               ,,68
119,ARG,angel di maria,118,               ,,68
180,ARG,carlos tevez,26,               ,,71
180,ARG,carlos tevez,52,               ,,71
136,ARG,gabriel heinze,6,               ,,87
49,ARG,gabriel mercado,48,               ,,88
123,ARG,gonzalo higuain,8,               ,,90
137,ARG,gonzalo higuain,33,               ,,90
137,ARG,gonzalo higuain,76,               ,,90
137,ARG,gonzalo higuain,80,               ,,90
180,ARG,gonzalo higuain,33,               ,,90
24,ARG,lionel messi,14,               ,,98
95,ARG,lionel messi,65,               ,,98
97,ARG,lionel messi,90,1,,98
100,ARG,lionel messi,3,               ,,98
100,ARG,lionel messi,45,1,,98
24,ARG,marcos rojo,86,               ,,101
100,ARG,marcos rojo,50,               ,,101
139,ARG,martin demichelis,77,               ,,104
139,ARG,martin palermo,89,               ,,105
19,ARG,sergio aguero,19,               ,,116
49,ARG,sergio aguero,90,32,,116
150,AUS,brett holman,11,               ,,131
151,AUS,brett holman,73,               ,,131
13,AUS,mile jedinak,62,               ,,164
15,AUS,mile jedinak,38,               ,,164
73,AUS,mile jedinak,54,               ,,164
72,AUS,tim cahil,35,               ,,
73,AUS,tim cahil,21,               ,,
151,AUS,tim cahil,69,               ,,
41,BEL,adnan januzaj,51,               ,,180
109,BEL,divock origi,88,               ,,185
37,BEL,dries mertens,47,               ,,186
107,BEL,dries mertens,80,               ,,186
39,BEL,eden hazard,6,               ,,187
39,BEL,eden hazard,51,               ,,187
63,BEL,eden hazard,82,               ,,187
54,BEL,jan vertonghen,69,               ,,188
112,BEL,jan vertonghen,78,               ,,188
58,BEL,kevin de bruyne,31,               ,,189
120,BEL,kevin de bruyne,93,               ,,189
54,BEL,marouane fellini,74,               ,,
107,BEL,marouane fellini,70,               ,,
39,BEL,michy batshuayi,90,               ,,196
54,BEL,nacer chadli,90,4,,198
37,BEL,romelu lukaku,69,               ,,201
37,BEL,romelu lukaku,75,               ,,201
39,BEL,romelu lukaku,16,               ,,201
39,BEL,romelu lukaku,45,3,,201
120,BEL,romelu lukaku,105,               ,,201
63,BEL,thomas meunier,4,               ,,206
99,BOS,avdija vrsajevic,83,               ,,
99,BOS,edin dzeko,23,               ,,
99,BOS,miralem pjanic,59,               ,,
95,BOS,sead kolasinac,3,               ,AG,
95,BOS,vedad ibisevic,84,               ,,
113,BRA,david luiz,18,               ,,244
122,BRA,david luiz,69,               ,,244
166,BRA,elano,72,               ,,249
167,BRA,elano,62,               ,,249
58,BRA,fernandinho,13,               ,AG,252
69,BRA,fernandinho,84,               ,,252
69,BRA,fred,49,               ,,254
182,BRA,juan,35,               ,,267
167,BRA,luis fabiano,25,               ,,273
167,BRA,luis fabiano,50,               ,,273
182,BRA,luis fabiano,38,               ,,273
166,BRA,maicon,25,               ,,277
65,BRA,marcelo,11,               ,AG,278
27,BRA,neymar jr,90,7,,282
53,BRA,neymar jr,51,               ,,282
65,BRA,neymar jr,29,               ,,282
65,BRA,neymar jr,71,               ,,282
69,BRA,neymar jr,17,               ,,282
69,BRA,neymar jr,34,               ,,282
65,BRA,oscar,90,1,,284
125,BRA,oscar,90,               ,,284
29,BRA,paulinho,36,               ,,285
26,BRA,philippe coutinho,20,               ,,287
27,BRA,philippe coutinho,90,1,,287
58,BRA,renato augusto 76,76,               ,,
53,BRA,roberto firmino,88,               ,,290
182,BRA,robinho,59,               ,,291
185,BRA,robinho,10,               ,,291
29,BRA,thiago silva,68,               ,,293
122,BRA,thiago silva,7,               ,,293
69,CAM,joel matip,26,               ,,317
156,CAM,samuel etoo,10,               ,,
157,CAM,samuel etoo,65,               ,,
72,CHI,alexis sanchez,12,               ,,332
113,CHI,alexis sanchez,32,               ,,332
74,CHI,charles aranguiz,43,               ,,335
74,CHI,eduardo vargas,20,               ,,338
72,CHI,jean beausejour,90,2,,349
171,CHI,jean beausejour,34,               ,,349
72,CHI,jorge valdivia,14,               ,,351
173,CHI,mark gonzalez,75,               ,,358
175,CHI,rodrigo millar,47,               ,,365
82,COL,jackson martinez,55,               ,,384
82,COL,jackson martinez,82,               ,,384
77,COL,james rodrigez,90,3,,
79,COL,james rodrigez,64,               ,,
82,COL,james rodrigez,90,               ,,
114,COL,james rodrigez,50,               ,,
114,COL,james rodrigez,28,               ,,
122,COL,james rodrigez,80,               ,,
46,COL,juan guillermo cuadrado,75,               ,,392
82,COL,juan guillermo cuadrado,17,               ,,392
43,COL,juan quintero,39,               ,,
79,COL,juan quintero,70,               ,,
77,COL,pablo armero,5,               ,,398
46,COL,radamel falcao,70,               ,,399
77,COL,teofilo gutierrez,58,               ,,401
46,COL,yerry mina,40,               ,,404
48,COL,yerry mina,74,               ,,404
56,COL,yerry mina,90,3,,404
86,CRC,bryan ruiz,44,               ,,406
116,CRC,bryan ruiz,52,               ,,406
83,CRC,joel campbell,54,               ,,418
30,CRC,kendall waston,56,               ,,424
83,CRC,marco ureña,84,               ,,428
83,CRC,oscar duarte,57,               ,,431
60,CRO,andrej kramaric,39,               ,,
21,CRO,ante rebic,53,               ,,
60,CRO,domagoj vida,101,               ,,447
23,CRO,ivan perisic,90,               ,,
62,CRO,ivan perisic,68,               ,,
64,CRO,ivan perisic,28,               ,,
68,CRO,ivan perisic,48,               ,,
70,CRO,ivan perisic,87,               ,,
21,CRO,ivan rakitic,90,1,,
68,CRO,ivica olic,11,               ,,
20,CRO,luka modric,71,               ,,
21,CRO,luka modric,80,               ,,
52,CRO,mario mandzukic,4,               ,,
62,CRO,mario mandzukic,109,               ,,
64,CRO,mario mandzukic,18,               ,AG,
64,CRO,mario mandzukic,69,               ,,
68,CRO,mario mandzukic,61,               ,,
68,CRO,mario mandzukic,73,               ,,
23,CRO,milan badelj,53,               ,,464
15,DEN,christian eriksen,7,               ,,478
153,DEN,daniel agger,46,               ,AG,480
156,DEN,dennis rommedahl,61,               ,,482
158,DEN,jon dahl tomasson,81,               ,,490
52,DEN,mathias jorgensen,1,               ,,
156,DEN,nicklas bendtner,33,               ,,504
14,DEN,yussuf poulsen,59,               ,,519
166,DPR,yun nam ji,89,               ,,
89,ECU,enner valencia,22,               ,,527
92,ECU,enner valencia,34,               ,,527
92,ECU,enner valencia,65,               ,,527
3,EGT,ahmed fathy,47,               ,AG,547
