#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
14,javier mascherano,MED,26,57,liverpool,2010,ARG,92
14,javier mascherano,MED,34,146,hebei fortune,2018,ARG,92
14,javier mascherano,MED,30,95,barcelona,2014,ARG,92
23,javier pastore,MED,21,1,palermo,2010,ARG,93
17,jonas gutierrez,MED,26,16,newcastle united,2010,ARG,94
24,jorge sampaoli,DT,               ,               ,,2018,ARG,95
23,jose basanta,DEF,30,4,monterrey,2014,ARG,96
8,juan sebastian veron,MED,35,70,estudiantes de la plata,2010,ARG,97
10,lionel messi,DEL,23,45,barcelona,2010,ARG,98
10,lionel messi,DEL,30,127,barcelona,2018,ARG,98
10,lionel messi,DEL,26,84,barcelona,2014,ARG,98
5,lucas biglia,MED,32,58,milan,2018,ARG,99
6,lucas biglia,MED,28,13,lazio,2014,ARG,99
8,marcos acuña,DEF,26,11,sporting de portugal,2018,ARG,100
16,marcos rojo,DEF,28,58,manchester united,2018,ARG,101
16,marcos rojo,DEF,24,17,sporting de portugal,2014,ARG,101
21,mariano andujar,POR,26,4,catania,2010,ARG,102
21,mariano andujar,POR,30,8,napoli,2014,ARG,102
5,mario bolatti,MED,25,5,fiorentina,2010,ARG,103
2,martin demichelis,DEF,29,25,bayern munich,2010,ARG,104
15,martin demichelis,DEF,33,37,manchester city,2014,ARG,104
18,martin palermo,DEL,36,14,boca juniors,2010,ARG,105
13,maximiliano meza,MED,26,5,independiente,2018,ARG,106
20,maximiliano rodriguez,MED,29,36,liverpool,2010,ARG,107
11,maximiliano rodriguez,MED,33,51,newell's old boys,2014,ARG,107
1,nahuel guzman,POR,32,6,tigres,2018,ARG,108
4,nicolas burdisso,DEF,29,29,roma,2010,ARG,109
15,nicolas otamendi,DEF,22,7,velez sarsfield,2010,ARG,110
17,nicolas otamendi,DEF,30,57,manchester city,2018,ARG,110
3,nicolas tagliafico,DEF,25,7,ajax,2018,ARG,111
4,pablo zabaleta,DEF,29,29,manchester city,2014,ARG,112
21,paulo dybala,DEL,24,13,juventus,2018,ARG,113
19,ricardo alvarez,MED,26,4,inter de milan,2014,ARG,114
18,rodrigo palacio,DEL,32,16,inter de milan,2014,ARG,115
16,sergio aguero,DEL,22,22,atletico de madrid,2010,ARG,116
19,sergio aguero,DEL,30,88,manchester city,2018,ARG,116
20,sergio aguero,DEL,26,48,manchester city,2014,ARG,116
22,sergio romero,POR,23,6,az alkmaar,2010,ARG,117
1,sergio romero,POR,27,47,monaco,2014,ARG,117
13,walter samuel,DEF,32,54,inter de milan,2010,ARG,118
23,wilfredo caballero,POR,36,5,chelsea,2018,ARG,119
13,aaron mooy,MED,27,34,huddersfield town,2018,AUS,120
12,adam federici,POR,25,1,reading fc,2010,AUS,121
23,adam taggart,DEL,21,               ,newcastle united (ing),2014,AUS,122
9,alex wilkinson,DEF,30,               ,jeonbuk hyundai motors (csr),2014,AUS,123
11,andrew nabbout,POR,25,4,urawa red diamonds,2018,AUS,124
16,aziz behich,DEF,27,23,bursaspor,2018,AUS,125
7,bailey wright,DEF,22,               ,preston north end (ing),2014,AUS,126
11,ben halloran,CEN,22,               ,fortuna dusseldorf (ale),2014,AUS,127
24,bert van marwijk,DT,               ,               ,,2018,AUS,128
12,brad jones,POR,36,6,feyenoord,2018,AUS,129
7,brett emerton,CEN,31,72,blackburn rovers,2010,AUS,130
14,brett holman,DEL,26,31,az alkmaar,2010,AUS,131
16,carl valeri,CEN,25,21,sassuolo,2010,AUS,132
3,craig moore,DEF,34,49,kavala f.c.,2010,AUS,133
17,daniel arzani,DEL,19,2,melbourne city,2018,AUS,134
18,danny vukovic,POR,33,1,genk,2018,AUS,135
18,dario vidosic,CEN,27,               ,adelaide united (aul),2014,AUS,136
22,dario vidošić,MED,23,26,msv duisburg,2010,AUS,137
21,david carney,DEF,26,25,fc twente,2010,AUS,138
21,dimitri petratos,DEL,25,2,newcastle jets,2018,AUS,139
18,eugene galekovic,POR,28,               ,adelaide united fc,2010,AUS,140
3,eugene galekovic,POR,33,               ,adelaide united (aul),2014,AUS,140
10,harry kewell,DEL,31,45,galatasaray,2010,AUS,141
4,ivan franjic,DEF,27,               ,brisbane roar (aul),2014,AUS,142
22,jackson irvine,MED,25,19,hull city,2018,AUS,143
16,james holland,CEN,23,               ,austria viena (aui),2014,AUS,144
3,james meredith,DEF,30,2,millwall,2018,AUS,145
14,james troisi,CEN,24,               ,atalanta (ita),2014,AUS,146
14,jamie maclaren,DEL,24,6,hibernian,2018,AUS,147
5,jason culina,CEN,29,48,gold coast united,2010,AUS,148
5,jason davidson,DEF,23,               ,heracles (hol),2014,AUS,149
19,josh risdon,DEF,25,8,western sydney wanderers,2018,AUS,150
9,joshua kennedy,DEL,27,18,nagoya grampus,2010,AUS,151
2,lucas neill,DEF,32,55,galatasaray,2010,AUS,152
8,luke wilkshire,DEF,28,41,fc dinamo moscu,2010,AUS,153
23,mark bresciano,MED,30,54,us palermo,2010,AUS,154
20,mark bresciano,CEN,34,               ,qatar stars league (qat),2014,AUS,154
20,mark milligan,DEF,24,20,jef united,2010,AUS,155
5,mark milligan,DEF,32,71,al-ahli,2018,AUS,155
10,mark milligan,CEN,29,               ,melbourne victory (aul),2014,AUS,155
1,mark schwarzer,POR,37,74,fulham fc,2010,AUS,156
8,massimo luongo,MED,25,36,queens park rangers,2018,AUS,157
19,massimo luongo,CEN,22,               ,swindon town (ing),2014,AUS,157
7,mathew leckie,DEL,27,53,hertha berlin,2018,AUS,158
22,mathew leckie,DEL,23,               ,fc ingolstadt (ale),2014,AUS,158
1,mathew ryan,POR,26,44,brighton & hove albion,2018,AUS,159
1,mathew ryan,POR,22,               ,club brujas kv (bel),2014,AUS,159
17,matt mckay,CEN,32,               ,brisbane roar (aul),2014,AUS,160
6,matthew jurman,DEF,28,4,suwon samsung bluewings,2018,AUS,161
6,matthew spiranovic,DEF,26,               ,western sydney wanderers (aul),2014,AUS,162
6,michael beauchamp,DEF,29,21,al-jazira,2010,AUS,163
15,mile jedinak,CEN,25,11,antalyaspor,2010,AUS,164
15,mile jedinak,MED,33,76,aston villa,2018,AUS,164
15,mile jedinak,CEN,31,               ,crystal palace (ing),2014,AUS,164
2,milos degenek,DEF,24,18,yokohama f. marinos,2018,AUS,165
2,mitchell langerak,POR,26,               ,borussia dortmund (ale),2014,AUS,166
17,nikita rukavytsya,DEL,22,3,ksv roeselare,2010,AUS,167
13,oliver bozanic,CEN,23,               ,fc luzern (sui),2014,AUS,168
24,pim verbeek,DT,               ,               ,,2010,AUS,169
24,pim verbeek,DT,               ,               ,,2014,AUS,169
19,richard garcia,CEN,28,6,hull city,2010,AUS,170
10,robbie kruse,DEL,29,64,vfl bochum,2018,AUS,171
8,ryan mcgowan,DEF,25,               ,shandong luneng (chn),2014,AUS,172
11,scott chipperfield,DEF,34,64,fc basel,2010,AUS,173
4,tim cahill,CEN,30,39,everton fc,2010,AUS,174
4,tim cahill,MED,38,106,millwall,2018,AUS,174
21,tim cahill,DEL,35,               ,new york red bulls (usa),2014,AUS,174
23,tom rogić,MED,25,37,celtic,2018,AUS,175
9,tomi juric,DEL,26,35,lucerna,2018,AUS,176
12,tommy oar,CEN,21,               ,fc utrecht (hol),2014,AUS,177
20,trent sainsbury,DEF,26,35,grasshoppers,2018,AUS,178
13,vince grella,CEN,30,44,blackburn rovers,2010,AUS,179
18,adnan januzaj,DEL,23,8,real sociedad,2018,BEL,180
20,adnan januzaj,DEL,19,               ,manchester united,2014,BEL,180
21,anthony vanden borre,DEF,26,               ,anderlecht,2014,BEL,181
6,axel witsel,MED,29,86,tianjin quanjian,2018,BEL,182
6,axel witsel,CEN,25,               ,zenit san petersburgo,2014,BEL,182
15,daniel van buyten,DEF,36,               ,bayern de munich,2014,BEL,183
20,dedryck boyata,DEF,27,6,celtic,2018,BEL,184
17,divock origi,DEL,19,               ,lille,2014,BEL,185
14,dries mertens,DEL,31,66,ssc napoli,2018,BEL,186
14,dries mertens,DEL,27,               ,napoli,2014,BEL,186
10,eden hazard,DEL,27,83,chelsea,2018,BEL,187
10,eden hazard,CEN,23,               ,chelsea,2014,BEL,187
5,jan vertonghen,DEF,31,101,tottenham hotspur,2018,BEL,188
5,jan vertonghen,DEF,27,               ,tottenham hotspur,2014,BEL,188
7,kevin de bruyne,MED,26,58,manchester city,2018,BEL,189
7,kevin de bruyne,CEN,22,               ,wolfsburgo,2014,BEL,189
11,kevin mirallas,DEL,26,               ,everton,2014,BEL,190
13,koen casteels,POR,25,0,vfl wolfsburg,2018,BEL,191
23,laurent ciman,DEF,28,               ,standard lieja,2014,BEL,192
23,leander dendoncker,DEF,23,4,rsc anderlecht,2018,BEL,193
24,marc wilmots,DT,               ,               ,,,BEL,194
8,marouane fellaini,MED,30,80,manchester united,2018,BEL,195
8,marouane fellaini,CEN,26,               ,manchester united,2014,BEL,195
21,michy batshuayi,DEL,24,14,borussia dortmund,2018,BEL,196
19,moussa dembele,MED,30,74,tottenham hotspur,2018,BEL,197
19,moussa dembele,CEN,26,               ,tottenham hotspur,2014,BEL,197
22,nacer chadli,MED,28,42,west bromwich albion,2018,BEL,198
22,nacer chadli,CEN,24,               ,tottenham hotspur,2014,BEL,198
18,nicolas lombaerts,DEF,29,               ,zenit san petersburgo,2014,BEL,199
24,roberto martinez montoliu,DT,               ,               ,,,BEL,200
9,romelu lukaku,DEL,25,65,manchester united,2018,BEL,201
9,romelu lukaku,DEL,21,               ,everton,2014,BEL,201
13,sammy bossut1,POR,28,               ,zulte waregem,2014,BEL,202
12,simon mignolet,POR,30,21,liverpool,2018,BEL,203
12,simon mignolet,POR,25,               ,liverpool,2014,BEL,203
16,steven defour,CEN,26,               ,porto,2014,BEL,204
1,thibaut courtois,POR,26,57,chelsea,2018,BEL,205
1,thibaut courtois,POR,22,               ,atletico de madrid,2014,BEL,205
15,thomas meunier,DEF,26,24,psg,2018,BEL,206
3,thomas vermaelen,DEF,32,64,barcelona,2018,BEL,207
3,thomas vermaelen,DEF,28,               ,arsenal,2014,BEL,207
16,thorgan hazard,MED,25,9,borussia monchengladbach,2018,BEL,208
2,toby alderweireld,DEF,29,73,tottenham hotspur,2018,BEL,209
2,toby alderweireld,DEF,25,               ,atletico de madrid,2014,BEL,209
4,vincent kompany,DEF,32,74,manchester city,2018,BEL,210
4,vincent kompany,DEF,28,               ,manchester city,2014,BEL,210
11,yannick carrasco,MED,24,24,dalian yifang,2018,BEL,211
17,youri tielemans,MED,21,7,as monaco,2018,BEL,212
21,anel hadžić,CEN,24,2,sturm graz,2014,BOS,213
22,asmir avdukić,POR,33,3,borac banja luka,2014,BOS,214
1,asmir begović,POR,26,30,stoke city,2014,BOS,215
2,avdija vršajević,CEN,28,13,hajduk split,2014,BOS,216
11,edin džeko,DEL,28,62,manchester city,2014,BOS,217
19,edin višća,DEL,24,10,istanbul başakşehir,2014,BOS,218
4,emir spahić,DEF,33,74,bayer 04 leverkusen,2014,BOS,219
3,ermin bičakčić,DEF,24,7,eintracht braunschweig,2014,BOS,220
18,haris medunjanin,CEN,29,35,gaziantepspor,2014,BOS,221
20,izet hajrović,CEN,22,8,galatasaray,2014,BOS,222
12,jasmin fejzić,POR,28,0,aalen,2014,BOS,223
13,mensur mujdža,CEN,30,24,friburgo,2014,BOS,224
8,miralem pjanić,CEN,24,28,roma,2014,BOS,225
7,muhamed bešić,DEF,21,9,ferencvaros,2014,BOS,226
6,ognjen vranješ,DEF,24,13,elazığspor,2014,BOS,227
24,safet sušić,DT,               ,               ,,,BOS,228
5,sead kolašinac,DEF,20,4,schalke 04,2014,BOS,229
23,sejad salihović,CEN,29,42,hoffenheim,2014,BOS,230
16,senad lulić,CEN,28,33,lazio,2014,BOS,231
17,senijad ibričić,CEN,28,44,erciyesspor,2014,BOS,232
14,tino sušić,CEN,22,2,hajduk split,2014,BOS,233
15,toni šunjić,DEF,25,7,zorya lugansk,2014,BOS,234
9,vedad ibišević,DEL,29,55,stuttgart,2014,BOS,235
10,zvjezdan misimović,CEN,32,81,guizhou renhe,2014,BOS,236
1,alisson,POR,25,26,as roma,2018,BRA,237
20,bernard,DEL,21,11,shakhtar donetsk,2014,BRA,238
5,casemiro,MED,26,24,real madrid,2018,BRA,239
16,cassio,POR,31,1,corinthians,2018,BRA,240
2,dani alves,DEF,31,75,fc barcelona,2014,BRA,241
13,dani alves,DEF,27,35,barcelona,2010,BRA,241
14,danilo,DEF,26,18,manchester city,2018,BRA,242
13,dante,DEF,30,12,bayern de munich,2014,BRA,243
4,david luiz,DEF,27,36,chelsea,2014,BRA,244
22,doni,POR,30,10,roma,2010,BRA,245
7,douglas costa,DEL,27,25,juventus,2018,BRA,246
24,dunga,DT,               ,               ,,2010,BRA,247
23,ederson,POR,24,1,manchester city,2018,BRA,248
7,elano,MED,28,43,galatasaray,2010,BRA,249
22,fagner,DEF,29,4,corinthians,2018,BRA,250
5,felipe melo,MED,26,18,juventus,2010,BRA,251
5,fernandinho,CEN,29,7,manchester city,2014,BRA,252
17,fernandinho,MED,33,44,manchester city,2018,BRA,252
6,filipe luis,DEF,32,33,atletico de madrid,2018,BRA,253
9,fred,DEL,30,33,fluminense,2014,BRA,254
18,fred,MED,25,8,shakhtar donetsk,2018,BRA,254
9,gabriel jesus,DEL,21,17,manchester city,2018,BRA,255
16,gilberto,DEF,34,33,cruzeiro,2010,BRA,256
8,gilberto silva,MED,33,88,panathinaikos,2010,BRA,257
12,gomes,POR,29,11,tottenham hotspur,2010,BRA,258
23,grafite,DEL,31,3,wolfsburgo,2010,BRA,259
15,henrique,DEF,27,5,napoli,2014,BRA,260
18,hernanes,CEN,29,24,inter de milan,2014,BRA,261
7,hulk,DEL,27,35,zenit san petersburgo,2014,BRA,262
1,jefferson,POR,31,9,botafogo,2014,BRA,263
21,jo,DEL,27,27,atletico mineiro,2014,BRA,264
17,josue,MED,30,27,wolfsburgo,2010,BRA,265
3,joão miranda,DEF,33,47,inter de milan,2018,BRA,266
4,juan,DEF,31,74,roma,2010,BRA,267
19,julio baptista,MED,28,46,roma,2010,BRA,268
12,julio cesar,POR,34,80,toronto,2014,BRA,269
1,julio cesar,POR,30,48,inter de milan,2010,BRA,269
10,kaka,MED,28,78,real madrid,2010,BRA,270
20,kleberson,MED,30,31,flamengo,2010,BRA,271
3,lucio,DEF,32,91,inter de milan,2010,BRA,272
9,luis fabiano,DEL,29,38,sevilla,2010,BRA,273
14,luisão,DEF,29,42,benfica,2010,BRA,274
24,luiz felipe scolari,DT,               ,               ,,2014,BRA,275
17,luiz gustavo,CEN,26,19,wolfsburgo,2014,BRA,276
23,maicon,DEF,32,72,roma,2014,BRA,277
2,maicon,DEF,28,58,inter de milan,2010,BRA,277
6,marcelo,DEF,26,31,real madrid,2014,BRA,278
12,marcelo,DEF,30,54,real madrid,2018,BRA,278
13,marquinhos,DEF,24,26,paris saint-germain,2018,BRA,279
14,maxwell,DEF,32,9,paris saint-germain,2014,BRA,280
6,michel bastos,DEF,26,5,olympique de lyon,2010,BRA,281
10,neymar jr,DEL,22,49,fc barcelona,2014,BRA,282
10,neymar jr,DEL,26,85,paris saint-germain,2018,BRA,282
21,nilmar,DEL,25,17,villarreal,2010,BRA,283
11,oscar,CEN,22,31,chelsea,2014,BRA,284
8,paulinho,CEN,25,26,tottenham hotspur,2014,BRA,285
15,paulinho,MED,29,50,fc barcelona,2018,BRA,285
4,pedro geromel,DEF,32,2,gremio,2018,BRA,286
11,philippe coutinho,MED,26,37,fc barcelona,2018,BRA,287
16,ramires,CEN,27,42,chelsea,2014,BRA,288
18,ramires,MED,23,12,benfica,2010,BRA,288
8,renato augusto,MED,30,28,beijing sinobo guoan,2018,BRA,289
20,roberto firmino,DEL,26,21,liverpool,2018,BRA,290
11,robinho,DEL,26,75,santos,2010,BRA,291
21,taison,DEL,30,8,shakhtar donetsk,2018,BRA,292
3,thiago silva,DEF,29,46,paris saint-germain,2014,BRA,293
15,thiago silva,DEF,26,9,ac milan,2010,BRA,293
2,thiago silva,DEF,33,71,paris saint-germain,2018,BRA,293
24,tite,DT,               ,               ,,2018,BRA,294
22,victor,POR,31,6,atletico mineiro,2014,BRA,295
19,willian,CEN,25,7,chelsea,2014,BRA,296
19,willian,MED,29,57,chelsea,2018,BRA,296
10,achille emana,DEL,28,34,real betis,2010,CAM,297
6,alexandre song,CEN,22,23,arsenal fc,2010,CAM,298
6,alexandre song,CEN,               ,               ,barcelona,2014,CAM,298
22,allam nyom,DEF,               ,               ,granada,2014,CAM,299
14,aurelien chedjou,DEF,24,9,lille osc,2010,CAM,300
14,aurelien chedjou,DEF,               ,               ,galatasaray,2014,CAM,300
8,benjamin moukandjo,DEL,               ,               ,nancy,2014,CAM,301
2,benoit assou-ekotto,DEF,26,8,tottenham hotspur,2010,CAM,302
2,benoit assou-ekotto,DEF,               ,               ,queens park rangers,2014,CAM,302
1,carlos idriss kameni,POR,26,55,rcd español,2010,CAM,303
4,cedric djeugoue,DEF,               ,               ,coton sport,2014,CAM,304
16,charles itandje,POR,               ,               ,konyaspor,2014,CAM,305
5,dany nounkeu,DEF,               ,               ,beşiktaş,2014,CAM,306
20,edgar salli,CEN,               ,               ,lens,2014,CAM,307
13,eric maxim choupo-moting,DEL,21,1,nuremberg,2010,CAM,308
13,eric maxim choupo-moting,DEL,               ,               ,maguncia 05,2014,CAM,308
18,eyong enoh,CEN,24,12,ajax amsterdam,2010,CAM,309
18,eyong enoh,CEN,               ,               ,antalyaspor,2014,CAM,309
19,fabrice olinga,DEL,               ,               ,zulte waregem,2014,CAM,310
12,gaetan bong,DEF,22,1,valenciennes fc,2010,CAM,311
20,georges mandjeck,CEN,21,6,kaiserslautern,2010,CAM,312
8,geremi njitap,DEF,31,114,ankaragucu,2010,CAM,313
22,guy n'dy assembe,POR,24,1,valenciennes fc,2010,CAM,314
12,henri bedimo,DEF,               ,               ,olympique de lyon,2014,CAM,315
11,jean ii makoun,CEN,27,50,olympique de lyon,2010,CAM,316
11,jean ii makoun,CEN,               ,               ,stade rennes,2014,CAM,316
21,joel matip,CEN,18,3,fc schalke 04,2010,CAM,317
21,joel matip,CEN,               ,               ,schalke 04,2014,CAM,317
7,landry n'guemo,CEN,24,7,as nancy,2010,CAM,318
7,landry n'guemo,CEN,               ,               ,girondins de bordeaux,2014,CAM,318
1,loic feudjou,POR,               ,               ,coton sport,2014,CAM,319
17,mohammadou idrissou,DEL,30,30,freiburgo,2010,CAM,320
3,nicolas n'koulou,DEF,20,16,as monaco,2010,CAM,321
3,nicolas n'koulou,DEF,               ,               ,olympique de marsella,2014,CAM,321
24,paul le guen,DT,               ,               ,,2010,CAM,322
15,pierre webo,DEL,28,41,real mallorca,2010,CAM,323
15,pierre webo,DEL,               ,               ,fenerbahçe,2014,CAM,323
4,rigobert song,DEF,33,136,trabzonspor,2010,CAM,324
23,sammy n'djock,POR,               ,               ,fethiyespor,2014,CAM,325
9,samuel eto'o,DEL,29,92,inter de milan,2010,CAM,326
9,samuel eto'o,DEL,               ,               ,chelsea,2014,CAM,326
5,sebastien bassong,DEF,23,6,tottenham hotspur,2010,CAM,327
16,souleymanou hamidou,POR,36,21,kayserispor,2010,CAM,328
19,stephane mbia,DEF,24,30,olympique de marsella,2010,CAM,329
17,stephane mbia,CEN,               ,               ,sevilla,2014,CAM,329
23,vincent aboubakar,DEL,18,1,coton sport,2010,CAM,330
10,vincent aboubakar,DEL,               ,               ,lorient,2014,CAM,330
24,volker finke,DT,               ,               ,,2014,CAM,331
7,alexis sanchez,DEL,25,67,barcelona,2014,CHI,332
7,alexis sanchez,DEL,21,29,udinese,2010,CHI,332
8,arturo vidal,CEN,27,54,juventus,2014,CHI,333
8,arturo vidal,DEF,23,23,bayer leverkusen,2010,CHI,333
6,carlos carmona,CEN,27,45,atalanta,2014,CHI,334
6,carlos carmona,MED,23,20,reggina,2010,CHI,334
20,charles aranguiz,CEN,25,21,internacional,2014,CHI,335
1,claudio bravo,POR,31,79,real sociedad,2014,CHI,336
1,claudio bravo,POR,27,43,real sociedad,2010,CHI,336
12,cristopher toselli,POR,25,4,universidad catolica,2014,CHI,337
11,eduardo vargas,DEL,24,30,valencia,2014,CHI,338
22,esteban paredes,DEL,33,35,colo-colo,2014,CHI,339
22,esteban paredes,DEL,29,14,colo-colo,2010,CHI,339
2,eugenio mena,DEF,25,25,santos,2014,CHI,340
14,fabian orellana,DEL,28,26,celta de vigo,2014,CHI,341
16,fabian orellana,DEL,24,16,xerez cd,2010,CHI,341
16,felipe gutierrez,CEN,23,18,twente,2014,CHI,342
5,francisco silva,CEN,28,12,osasuna,2014,CHI,343
17,gary medel,DEF,26,61,cardiff city,2014,CHI,344
17,gary medel,DEF,22,24,boca juniors,2010,CHI,344
19,gonzalo fierro,DEL,27,18,flamengo,2010,CHI,345
18,gonzalo jara,DEF,28,65,nottingham forest,2014,CHI,346
18,gonzalo jara,DEF,24,34,west bromwich albion,2010,CHI,346
9,humberto suazo,DEL,29,42,real zaragoza,2010,CHI,347
2,ismael fuentes,DEF,28,29,universidad catolica,2010,CHI,348
