iago aspas,1,3,0.3,SPA,2018,1647
isco,1,4,0.2,SPA,2018,1649
islam slimani,2,4,0.5,ALG,2014,18
ivan perišić,2,3,0.7,CRO,2014,453
ivan perišić,3,7,0.4,CRO,2018,453
ivan rakitić,1,7,0.1,CRO,2018,454
ivica olić,1,3,0.3,CRO,2014,456
jackson martinez,2,3,0.7,COL,2014,384
james rodriguez,6,5,1.2,COL,2014,385
jan bednarek,1,3,0.3,POL,2018,1360
jan vertonghen,1,5,0.2,BEL,2014,188
jan vertonghen,1,6,0.2,BEL,2018,188
javier hernandez,2,4,0.5,MEX,2010,1130
javier hernandez,1,4,0.2,MEX,2014,1130
javier hernandez,1,4,0.2,MEX,2018,1130
jean beausejour,1,4,0.2,CHI,2010,349
jean beausejour,1,2,0.5,CHI,2014,349
jermain defoe,1,3,0.3,ENG,2010,599
jermaine jones,1,4,0.2,USA,2014,1877
jesse lingard,1,6,0.2,ENG,2018,600
ji yun-nam,1,3,0.3,KPR,2010,1061
joel campbell,1,5,0.2,CRC,2014,418
joel matip,1,2,0.5,CAM,2014,317
john brooks,1,1,1,USA,2014,1878
john stones,2,7,0.3,ENG,2018,603
jon dahl tomasson,1,2,0.5,DEN,2010,490
jorge valdivia,1,3,0.3,CHI,2014,351
jose maria gimenez,1,4,0.2,URU,2018,1838
josip drmić,1,3,0.3,SWZ,2018,1763
juan,1,5,0.2,BRA,2010,267
juan fernando quintero,1,3,0.3,COL,2014,391
juan fernando quintero,1,4,0.2,COL,2018,391
juan guillermo cuadrado,1,5,0.2,COL,2014,392
juan guillermo cuadrado,1,4,0.2,COL,2018,392
juan mata,1,1,1,SPA,2014,1654
julian green,1,1,1,USA,2014,1882
kalu uche,2,3,0.7,NGR,2010,1224
kamil kopunek,1,2,0.5,SLK,2010,1485
karim ansarifard,1,3,0.3,IRA,2018,877
karim benzema,3,5,0.6,FRA,2014,655
katlego mphela,1,3,0.3,SOA,2010,1545
keisuke honda,2,4,0.5,JAP,2010,1019
keisuke honda,1,3,0.3,JAP,2014,1019
keisuke honda,1,3,0.3,JAP,2018,1019
kendall waston,1,1,1,CRC,2018,424
kevin de bruyne,1,4,0.2,BEL,2014,189
kevin de bruyne,1,6,0.2,BEL,2018,189
kevin prince boateng,1,5,0.2,GHA,2010,762
khalid boutaib,1,2,0.5,MAR,2018,1089
kieran trippier,1,6,0.2,ENG,2018,607
kim young-gwon,1,3,0.3,SOK,2018,1604
klaas-jan huntelaar,1,4,0.2,NED,2010,1174
klaas-jan huntelaar,1,3,0.3,NED,2014,1174
koo ja-cheol,1,3,0.3,SOK,2014,1606
kylian mbappe,4,7,0.6,FRA,2018,656
landon donovan,3,4,0.8,USA,2010,1885
lee chung-yong,2,4,0.5,SOK,2010,1609
lee jung-soo,2,4,0.5,SOK,2010,1612
lee keun-ho,1,3,0.3,SOK,2014,1613
leroy fer,1,1,1,NED,2014,1175
liedson,1,3,0.3,POR,2010,1402
lionel messi,4,7,0.6,ARG,2014,98
lionel messi,1,4,0.2,ARG,2018,98
ludwig augustinsson,1,5,0.2,SUE,2018,1731
luis fabiano,3,5,0.6,BRA,2010,273
luis suarez,3,6,0.5,URU,2010,1841
luis suarez,2,2,1,URU,2014,1841
luis suarez,2,5,0.4,URU,2018,1841
luka modrić,2,7,0.3,CRO,2018,459
lukas podolski,2,6,0.3,GER,2010,711
m'baye niang,1,3,0.3,SEN,2018,1468
maicon,1,5,0.2,BRA,2010,277
marcell jansen,1,4,0.2,GER,2010,714
marco reus,1,3,0.3,GER,2018,715
marco ureña,1,4,0.2,CRC,2014,428
marcos rojo,1,6,0.2,ARG,2014,101
marcos rojo,1,3,0.3,ARG,2018,101
mario balotelli,1,3,0.3,ITA,2014,954
mario fernandes,1,5,0.2,RUS,2018,1444
mario gotze,2,6,0.3,GER,2014,717
mario mandžukić,2,2,1,CRO,2014,461
mario mandžukić,3,6,0.5,CRO,2018,461
mark gonzalez,1,4,0.2,CHI,2010,358
marko pantelić,1,2,0.5,SRB,2010,1697
marouane fellaini,1,5,0.2,BEL,2014,195
marouane fellaini,1,5,0.2,BEL,2018,195
martin demichelis,1,5,0.2,ARG,2010,104
martin palermo,1,1,1,ARG,2010,105
mathias jørgensen,1,3,0.3,DEN,2018,500
mathieu valbuena,1,4,0.2,FRA,2014,664
mats hummels,2,6,0.3,GER,2014,720
matthew upson,1,2,0.5,ENG,2010,613
maximiliano pereira,1,7,0.1,URU,2010,1848
memphis depay,2,4,0.5,NED,2014,1179
mesut ozil,1,7,0.1,GER,2010,722
mesut ozil,1,7,0.1,GER,2014,722
michael bradley,1,4,0.2,USA,2010,1888
michy batshuayi,1,3,0.3,BEL,2018,196
milan badelj,1,3,0.3,CRO,2018,464
milan jovanović,1,3,0.3,SRB,2010,1698
mile jedinak,1,3,0.3,AUS,2014,164
mile jedinak,2,3,0.7,AUS,2018,164
miralem pjanić,1,3,0.3,BOS,2014,225
miroslav klose,4,5,0.8,GER,2010,723
miroslav klose,2,5,0.4,GER,2014,723
mohamed salah,2,2,1,EGT,2018,560
moussa sissoko,1,4,0.2,FRA,2014,667
moussa wague,1,3,0.3,SEN,2018,1472
nacer chadli,1,6,0.2,BEL,2018,198
nacho monreal,1,2,0.5,SPA,2018,1661
nani,1,3,0.3,POR,2014,1407
neymar jr,4,5,0.8,BRA,2014,282
neymar jr,2,5,0.4,BRA,2018,282
nicklas bendtner,1,3,0.3,DEN,2010,504
ola toivonen,1,5,0.2,SUE,2018,1736
olivier giroud,1,5,0.2,FRA,2014,671
oribe peralta,1,4,0.2,MEX,2014,1144
oscar,2,7,0.3,BRA,2014,284
oscar duarte,1,4,0.2,CRC,2014,431
pablo armero,1,5,0.2,COL,2014,398
paolo guerrero,1,3,0.3,PER,2018,1342
park chu-young,1,4,0.2,SOK,2010,1622
park ji-sung,1,4,0.2,SOK,2010,1623
paul pogba,1,5,0.2,FRA,2014,674
paul pogba,1,6,0.2,FRA,2018,674
paulinho,1,5,0.2,BRA,2018,285
pepe,1,4,0.2,POR,2018,1412
peter odemwingie,1,4,0.2,NGR,2014,1238
philippe coutinho,2,5,0.4,BRA,2018,287
radamel falcao,1,4,0.2,COL,2018,399
rafael marquez,1,4,0.2,MEX,2010,1148
rafael marquez,1,4,0.2,MEX,2014,1148
rafik halliche,1,4,0.2,ALG,2014,32
raphael varane,1,7,0.1,FRA,2018,676
raul meireles,1,4,0.2,POR,2010,1415
renato augusto,1,3,0.3,BRA,2018,289
reza ghoochannejhad,1,3,0.3,IRA,2014,892
ricardo quaresma,1,3,0.3,POR,2018,1419
robert koren,1,3,0.3,SLN,2010,1517
robert vittek,4,4,1,SLK,2010,1496
roberto firmino,1,4,0.2,BRA,2018,290
robin van persie,1,7,0.1,NED,2010,1184
robin van persie,4,6,0.7,NED,2014,1184
robinho,2,4,0.5,BRA,2010,291
rodrigo millar,1,3,0.3,CHI,2010,365
romaric,1,3,0.3,IVC,2010,990
romelu lukaku,1,4,0.2,BEL,2014,201
romelu lukaku,4,6,0.7,BEL,2018,201
sadio mane,1,3,0.3,SEN,2018,1473
salem al-dawsari,1,3,0.3,ARA,2018,60
salman al-faraj,1,3,0.3,ARA,2018,61
salomon kalou,1,3,0.3,IVC,2010,992
sami khedira,1,7,0.1,GER,2010,730
sami khedira,1,5,0.2,GER,2014,730
samuel eto'o,2,3,0.7,CAM,2010,326
samuel umtiti,1,6,0.2,FRA,2018,679
sergio aguero,2,4,0.5,ARG,2018,116
shane smeltz,1,3,0.3,NZL,2010,1273
shinji kagawa,1,3,0.3,JAP,2018,1033
shinji okazaki,1,4,0.2,JAP,2010,1034
shinji okazaki,1,3,0.3,JAP,2014,1034
silvestre varela,1,2,0.5,POR,2014,1424
simão,1,4,0.2,POR,2010,1425
siphiwe tshabalala,1,3,0.3,SOA,2010,1559
sofiane feghouli,1,4,0.2,ALG,2014,38
sokratis papastathopoulos,1,4,0.2,GRE,2014,812
son heung-min,1,3,0.3,SOK,2014,1627
son heung-min,2,3,0.7,SOK,2018,1627
stefan de vrij,1,7,0.1,NED,2014,1188
steven gerrard,1,4,0.2,ENG,2010,628
steven zuber,1,3,0.3,SWZ,2018,1782
sulley muntari,1,4,0.2,GHA,2010,778
takashi inui,2,4,0.5,JAP,2018,1038
teofilo gutierrez,1,4,0.2,COL,2014,401
thiago silva,1,6,0.2,BRA,2014,293
thiago silva,1,5,0.2,BRA,2018,293
thomas meunier,1,5,0.2,BEL,2018,206
thomas muller,5,6,0.8,GER,2010,735
thomas muller,5,7,0.7,GER,2014,735
tiago,2,4,0.5,POR,2010,1426
tim cahill,1,2,0.5,AUS,2010,174
tim cahill,2,2,1,AUS,2014,174
toni kroos,2,7,0.3,GER,2014,738
toni kroos,1,3,0.3,GER,2018,738
valter birsa,1,3,0.3,SLN,2010,1521
vasilis torosidis,1,3,0.3,GRE,2010,819
vedad ibišević,1,3,0.3,BOS,2014,235
victor moses,1,3,0.3,NGR,2018,1249
vincenzo iaquinta,1,3,0.3,ITA,2010,965
wahbi khazri,2,3,0.7,TNZ,2018,1811
wayne rooney,1,3,0.3,ENG,2014,630
wesley sneijder,5,7,0.7,NED,2010,1192
wesley sneijder,1,6,0.2,NED,2014,1192
wilfried bony,2,3,0.7,IVC,2014,1002
winston reid,1,3,0.3,NZL,2010,1278
xabi alonso,1,3,0.3,SPA,2014,1673
xherdan shaqiri,3,4,0.8,SWZ,2014,1787
xherdan shaqiri,1,4,0.2,SWZ,2018,1787
yacine brahimi,1,3,0.3,ALG,2014,40
yakubu aiyegbeni,1,3,0.3,NGR,2010,1254
yasuhito endo,1,4,0.2,JAP,2010,1045
yaya toure,1,3,0.3,IVC,2010,1003
yerry mina,3,3,1,COL,2018,404
youssef en-nesyri,1,1,1,MAR,2018,1102
yuri gazinski,1,4,0.2,RUS,2018,1451
yussuf poulsen,1,3,0.3,DEN,2018,519
yuya osako,1,4,0.2,JAP,2018,1054
zlatan ljubijankič,1,3,0.3,SLN,2010,1522
