#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Mathew Ryan,POR,26,44,Brighton & Hove Albion,2018
2,Milos Degenek,DEF,24,18,Yokohama F. Marinos,2018
3,James Meredith,DEF,30,2,Millwall,2018
4,Tim Cahill,MED,38,106,Millwall,2018
5,Mark Milligan,DEF,32,71,Al-Ahli,2018
6,Matthew Jurman,DEF,28,4,Suwon Samsung Bluewings,2018
7,Mathew Leckie,DEL,27,53,Hertha Berlin,2018
8,Massimo Luongo,MED,25,36,Queens Park Rangers,2018
9,Tomi Juric,DEL,26,35,Lucerna,2018
10,Robbie Kruse,DEL,29,64,VfL Bochum,2018
11,Andrew Nabbout,POR,25,4,Urawa Red Diamonds,2018
12,Brad Jones,POR,36,6,Feyenoord,2018
13,Aaron Mooy,MED,27,34,Huddersfield Town,2018
14,Jamie Maclaren,DEL,24,6,Hibernian,2018
15,Mile Jedinak,MED,33,76,Aston Villa,2018
16,Aziz Behich,DEF,27,23,BursasPOR,2018
17,Daniel Arzani,DEL,19,2,Melbourne City,2018
18,Danny Vukovic,POR,33,1,Genk,2018
19,Josh Risdon,DEF,25,8,Western Sydney Wanderers,2018
20,Trent Sainsbury,DEF,26,35,Grasshoppers,2018
21,Dimitri Petratos,DEL,25,2,Newcastle Jets,2018
22,Jackson Irvine,MED,25,19,Hull City,2018
23,Tom Rogić,MED,25,37,Celtic,2018
24,Bert van Marwijk,DT,,,,2018
