#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Eiji Kawashima,POR,35,84,FC Metz,2018
2,Naomichi Ueda,DEF,23,3,Kashima Antlers,2018
3,Gen Shoji,DEF,25,10,Kashima Antlers,2018
4,Keisuke Honda,MED,32,95,Pachuca,2018
5,Yuto Nagatomo,DEF,31,105,Galatasaray,2018
6,Wataru Endo,DEF,25,11,Urawa Red Diamonds,2018
7,Gaku Shibasaki,MED,26,17,Getafe,2018
8,Genki Haraguchi,MED,27,32,Fortuna Dusseldorf,2018
9,Shinji Okazaki,DEL,32,112,Leicester City,2018
10,Shinji Kagawa,MED,29,91,Borussia Dortmund,2018
11,Takashi Usami,MED,26,23,Fortuna Dusseldorf,2018
12,Masaaki Higashiguchi,POR,32,4,Gamba Osaka,2018
13,Yoshinori Muto,DEL,25,23,FSV Mainz,2018
14,Takashi Inui,MED,30,26,Eibar,2018
15,Yuya Osako,DEL,28,28,1. FC Colonia,2018
16,Hotaru Yamaguchi,MED,27,41,Cerezo Osaka,2018
17,Makoto Hasebe,MED,32,110,Eintracht Frankfurt,2018
18,Ryota Oshima,MED,25,5,Kawasaki Frontale,2018
19,Hiroki Sakai,DEF,28,42,Olympique de Marsella,2018
20,Tomoaki Makino,DEF,31,32,Urawa Red Diamonds,2018
21,Gotoku Sakai,DEF,27,40,Hamburgo SV,2018
22,Maya Yoshida,DEF,29,82,Southampton,2018
23,Kosuke Nakamura,POR,23,3,Kashiwa Reysol,2018
24,Akira Nishino,DT,,,,2018
