#,Nombre,Posicion,Edad,PJ Sel,Club,year
1,Boubacar Barry,POR,34,80,Lokeren,2014
2,Ousmane Diarrassouba,DEF,27,1,Çaykur RizesPOR,2014
3,Arthur Boka,DEF,31,81,Malaga,2014
4,Kolo Toure,DEF,33,108,Liverpool,2014
5,Didier Zokora,DEF,33,121,TrabzonsPOR,2014
6,Mathis Bolly,DEL,23,5,Fortuna Dusseldorf,2014
7,Jean-Daniel Akpa-Akpro,DEF,21,1,Toulouse,2014
8,Salomon Kalou,DEL,28,70,Lille,2014
9,Cheick Tiote,CEN,28,46,Newcastle United,2014
10,Gervinho,DEL,27,56,Roma,2014
11,Didier Drogba,DEL,36,104,Galatasaray,2014
12,Wilfried Bony,DEL,25,27,Swansea City,2014
13,Didier Ya Konan,CEN,30,26,Ittihad,2014
14,Ismael Diomande,CEN,21,3,Saint-Etienne,2014
15,Max GraDEL,CEN,26,27,Saint-Etienne,2014
16,Sylvain Gbohouo,POR,25,2,Sewe SPORt,2014
17,Serge Aurier,DEF,21,11,Toulouse,2014
18,Constant Djakpa,DEF,27,6,Eintracht Frankfurt,2014
19,Yaya Toure,CEN,31,85,Manchester City,2014
20,Serey Die,CEN,29,10,Basel,2014
21,Giovanni Sio,DEL,25,8,Basel,2014
22,Souleymane Bamba,DEF,29,46,TrabzonsPOR,2014
23,Sayouba Mande,POR,21,1,Stabæk,2014
24,Sabri Lamouchi,DT,,,,
